Meta -1,-3,-3,-3,-3,-2,-2,-2,-2,-1,-1,-1,-1,-1,0,0,0,0,0,1,1,1,1,2,2,2,2,3,3,3,3
Meta -2,-3,-2,-1,0,-3,-2,-1,0,-3,-2,-1,0,1,-2,-1,0,1,2,-1,0,1,2,0,1,2,3,0,1,2,3
Meta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-3,3,1,2,2,0,0,1,0,0,1,1,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-2,3,0,2,0,5,72,24,9,0,5,32,14,0,1,1,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0
-1,2,0,0,0,0,34,23,7,2,48,574,111,3,1,37,151,4,0,0,0,3,1,0,0,0,0,0,0,0,0
0,0,0,0,0,0,4,3,1,0,10,128,66,0,5,159,1492,142,6,1,47,132,9,1,2,4,1,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,3,0,0,1,7,130,40,1,2,110,621,69,2,23,63,3,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13,2,1,0,22,45,12,12,51,136,6,1,0,6,3
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,2,3,2,0,1,1,1,5
