Meta -1,-3,-3,-3,-3,-2,-2,-2,-2,-1,-1,-1,-1,0,0,0,0,0,1,1,1,1,1,2,2,2,2,2,3,3,3
Meta -2,-3,-2,-1,0,-3,-2,-1,0,-2,-1,0,1,-2,-1,0,1,2,-2,0,1,2,3,-1,0,1,2,3,1,2,3
Meta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-3,1,0,1,0,0,3,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-2,1,3,1,1,5,74,30,11,7,42,20,0,0,6,13,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
-1,0,0,0,0,1,41,34,7,68,582,119,1,4,34,147,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1,5,3,8,141,51,0,5,149,1638,135,7,0,54,111,9,0,1,2,3,4,0,0,0,0
1,0,0,0,0,0,1,0,0,0,0,0,0,0,9,119,29,1,1,85,574,62,1,2,5,19,52,0,0,1,0
2,0,0,0,0,0,0,0,0,0,3,1,0,0,2,15,4,0,0,17,37,7,0,1,13,36,96,6,1,1,4
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,3,0,0,2,2,4
