Meta -1,-3,-3,-3,-3,-3,-3,-3,-3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3
Meta -2,-3,-3,-2,-2,-2,-1,-1,0,-3,-3,-3,-3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,1,-2,-2,-2,-2,-2,-2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,2,2,2,2,2,-2,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,3,-1,-1,-1,0,0,0,0,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,1,1,2,2,2,3,3,3,3,3,3
Meta -3,-3,-1,-2,-2,-2,-1,-1,0,-3,-2,-1,0,-3,-3,-3,-3,-2,-2,-2,-2,-1,-1,-1,0,0,-2,-2,-2,-1,-1,-1,0,0,0,-1,-1,0,0,2,2,-3,-2,-2,-2,-2,-1,-1,-1,0,0,0,-2,-2,-2,-2,-1,-1,-1,0,0,0,0,1,-2,-2,-1,-1,0,0,0,1,1,1,1,-2,-1,-1,-1,0,0,-2,-2,-2,-1,-1,-1,-1,0,0,0,-2,-2,-2,-1,-1,-1,0,0,0,0,0,1,1,1,2,2,2,2,0,0,0,1,1,1,2,2,2,-1,0,1,1,2,-2,-1,-1,0,0,0,0,1,1,1,2,-2,0,0,0,1,1,1,1,1,2,2,2,2,3,-1,0,0,1,1,1,2,2,2,2,2,-1,-1,0,-1,0,1,1,0,0,0,1,1,1,2,2,2,-1,0,0,0,1,1,1,2,2,2,2,2,3,3,3,1,2,3,3,0,1,0,1,1,1,2,2,3,3,3
Meta -4,-1,-1,-3,-2,-1,-2,-1,0,-3,-2,-1,0,-3,-2,-1,0,-3,-2,-1,0,-2,-1,0,-1,0,-2,-1,0,-2,-1,0,-1,0,1,-1,0,-2,0,0,2,-2,-3,-2,-1,0,-2,-1,0,-1,0,2,-3,-2,-1,0,-2,-1,0,-2,-1,0,1,1,-1,0,-1,0,-1,0,1,0,1,2,0,0,-2,-1,0,0,2,-2,-1,0,-2,-1,0,1,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,1,2,0,1,2,-1,0,1,2,-1,0,1,0,1,2,0,1,2,-1,0,0,1,2,-1,-1,0,-1,0,1,2,0,1,2,2,-2,-1,0,1,-2,0,1,2,3,-1,0,1,2,2,-1,-1,0,0,1,2,0,1,2,3,1,-1,0,1,-1,0,0,1,0,1,2,0,1,2,0,1,2,0,-1,0,1,0,1,2,-1,0,1,2,3,1,2,3,1,1,2,3,0,0,0,0,2,0,0,1,1,2,3
Meta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-2,1,0,1,1,1,0,1,1,1,2,1,1,0,2,0,1,3,23,11,5,2,13,5,2,7,1,2,0,3,13,2,1,8,0,0,2,1,8,0,0,0,0,2,0,1,0,2,0,2,0,0,0,6,0,0,2,24,6,0,1,3,0,0,0,0,3,1,0,15,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,2,0,1,0,0,0,0,0,1,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,18,9,4,1,5,2,0,1,1,0,2,3,16,2,3,6,1,4,0,0,2,0,1,1,1,27,7,0,3,16,9,2,1,1,1,26,22,4,44,327,64,3,16,71,4,0,2,1,17,4,9,77,5,2,1,1,1,0,1,2,0,1,0,0,0,0,2,23,3,0,0,0,6,0,0,0,0,9,4,0,12,109,7,1,1,4,0,0,0,0,0,0,2,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,3,0,0,1,0,0,0,0,2,1,0,0,0,2,1,0,0,3,1,0,1,0,0,3,5,0,7,82,23,0,4,16,0,1,1,0,8,1,4,37,0,0,0,0,0,1,0,1,1,1,1,3,4,1,5,79,15,1,0,9,32,1,1,2,7,90,37,4,117,1147,100,3,36,81,6,1,1,2,2,1,28,9,7,75,9,0,4,2,1,1,1,2,2,0,2,0,0,42,0,0,6,4,0,0,0,1,9,2,1,14,67,7,0,1,0,0,9,0,0,1,0,2,3,0,0,2,1,0,0,0,1,0,0,2,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,1,0,1,0,1,0,0,0,1,1,0,0,2,92,13,2,1,6,0,0,0,1,0,1,10,0,3,12,1,1,1,0,0,0,0,0,1,1,5,2,1,54,6,1,4,10,2,0,1,6,47,14,0,50,363,40,1,1,2,10,36,1,2,0,3,3,6,1,4,6,36,1,1,2,0,0,1,4,0,0,5,1,0,2,9,1,0,0,1,0,0,3,1,2,7,0,0,3,7,28,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
