Meta -1,-3,-3,-3,-3,-3,-3,-3,-3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3
Meta -2,-3,-3,-2,-2,-2,-1,-1,0,-3,-3,-3,-3,-3,-3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-2,-2,-2,-2,-2,-2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,-1,-1,-1,-1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,1,1,1,2,2,2,3,3,3,3,3,3
Meta -3,-3,-1,-2,-2,-2,-1,-1,0,-3,-2,-2,-2,-1,0,-3,-3,-3,-3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,-1,-1,-1,-1,-1,-1,0,0,0,-2,-2,-2,-2,-1,-1,-1,-1,-1,-1,0,0,0,0,-1,-1,-1,0,0,0,0,2,2,-3,-2,-2,-2,-2,-2,-2,-2,-2,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,1,-2,-2,-2,-1,-1,-1,-1,0,0,0,0,0,0,0,0,1,1,1,1,1,-2,-1,-1,-1,0,0,-2,-2,-2,-2,-2,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,-2,-2,-2,-2,-2,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,2,2,2,2,2,0,0,0,0,1,1,1,1,1,1,1,1,1,2,2,2,2,2,-1,0,1,1,2,2,2,-2,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2,-2,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,3,-1,0,0,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,-1,-1,-1,0,-1,0,0,0,1,1,1,0,0,0,0,0,1,1,1,1,1,1,2,2,2,2,2,-1,0,0,0,0,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,1,2,3,3,3,0,0,1,0,1,1,1,2,2,3,3,3
Meta -4,-1,-1,-3,-2,-1,-2,-1,0,-3,-2,-2,-2,-1,0,-3,-2,-1,0,-3,-3,-2,-2,-2,-2,-1,-1,-1,0,0,-2,-2,-1,-1,-1,0,0,-1,0,0,-2,-2,-1,0,-2,-1,-1,-1,0,0,-1,-1,0,1,-1,-1,0,-2,0,0,0,0,2,-2,-3,-2,-2,-2,-1,-1,-1,0,-2,-2,-1,-1,-1,0,0,0,-1,0,2,-3,-2,-2,-2,-1,-1,-1,0,0,0,-2,-2,-2,-2,-1,-1,-1,0,0,0,0,-2,-2,-1,-1,0,0,0,1,1,1,1,-1,-1,0,-1,-1,-1,0,-1,-1,0,0,0,0,1,1,0,1,1,2,0,0,-2,-1,0,0,2,-2,-2,-1,-1,0,-2,-2,-1,-1,-1,0,0,1,-2,-1,-1,0,0,-2,-1,-1,0,0,-2,-2,-2,-1,-1,-1,-1,0,0,-2,-2,-2,-1,-1,-1,0,0,0,0,0,1,1,1,2,2,2,2,0,0,0,1,1,1,2,2,-1,0,1,1,2,-1,0,1,1,0,0,0,1,1,1,1,2,2,0,1,1,2,2,-1,0,0,1,2,2,2,-1,-1,-1,-1,0,0,-1,-1,0,0,0,0,1,1,2,0,0,1,1,1,2,2,2,-2,-1,-1,0,0,0,0,1,1,1,-2,0,0,0,1,1,1,1,2,2,2,2,3,-1,0,1,1,1,2,2,2,2,2,-1,-1,0,0,0,1,1,1,2,0,0,1,1,2,2,2,3,1,-1,-1,0,1,-1,0,0,0,0,0,1,0,0,1,1,2,0,1,1,1,2,2,0,1,1,2,2,0,-1,0,1,1,0,0,0,1,1,1,2,2,2,-1,0,0,0,1,1,1,2,2,2,2,3,3,3,1,2,3,3,1,1,2,3,3,0,0,0,0,0,2,0,0,1,1,2,3
Meta -5,-1,-2,-1,-2,0,-1,-1,1,-1,-3,-2,-1,-1,0,-3,-2,-1,0,-2,0,-3,-2,-1,0,-2,-1,0,-1,0,-2,-1,-2,-1,0,-1,0,0,-2,0,-2,0,-1,-1,-2,-2,-1,0,-1,0,-1,0,0,1,-1,0,0,-1,-1,0,1,0,2,-2,-3,-2,-1,0,-2,-1,0,0,-2,0,-2,-1,0,-1,0,1,-1,0,2,-2,-3,-2,-1,-2,-1,0,-1,0,2,-3,-2,-1,0,-2,-1,0,-2,-1,0,1,-1,0,-1,0,-1,0,1,0,1,2,0,-2,-1,0,-2,-1,0,0,-1,0,-1,0,1,2,0,1,0,0,1,2,0,0,-2,-1,0,0,0,-2,-1,-1,0,0,-2,-1,-2,-1,0,-1,0,1,-1,-1,0,-1,0,0,-1,0,0,2,-2,-1,0,-2,-1,0,1,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,1,2,0,1,2,-1,0,1,2,-1,0,1,0,1,2,1,2,-1,0,0,1,2,-1,0,0,1,-1,0,1,-2,0,1,2,-1,2,-1,0,1,1,2,0,0,0,1,-1,0,1,0,-2,-1,0,-2,0,-2,-1,-1,0,1,2,0,1,1,-1,0,0,1,2,0,1,2,-1,-1,0,-1,0,1,2,0,1,2,-2,-1,0,1,0,1,2,3,-1,0,1,2,2,-1,0,0,1,2,0,1,2,3,1,-1,-1,0,0,1,0,1,2,2,0,1,0,1,0,1,2,3,0,-1,0,0,1,-1,-1,0,1,0,1,0,0,1,0,1,2,0,0,1,2,0,2,0,0,1,1,2,1,-1,0,0,1,0,1,2,0,1,2,0,1,2,0,-1,0,1,0,1,2,0,1,2,3,1,2,3,1,1,2,3,0,0,0,1,3,-1,0,0,0,0,1,0,0,2,0,1,2
Meta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-2,1,0,1,1,1,0,1,1,1,1,0,1,1,1,0,2,0,1,2,1,3,12,6,2,2,7,2,2,3,0,2,2,9,2,1,4,2,1,6,1,0,2,0,3,0,10,3,0,2,0,1,8,0,0,0,2,1,0,7,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,2,0,0,0,0,2,0,0,0,0,6,0,0,0,0,0,0,0,0,0,1,1,4,16,4,0,0,6,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,14,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,11,5,2,0,6,3,0,4,1,0,1,4,0,0,2,0,0,1,0,1,0,2,3,1,12,3,1,1,3,0,6,1,3,1,0,0,1,1,0,0,1,1,1,17,8,2,0,5,2,0,1,2,3,12,1,3,5,1,2,1,1,1,1,18,7,3,12,7,2,1,1,1,22,18,3,33,247,47,3,12,45,4,2,1,12,4,9,57,5,2,1,1,0,1,1,1,2,12,3,4,5,4,11,61,5,0,1,4,2,0,1,1,1,0,1,2,0,1,0,0,0,0,0,0,1,1,0,18,5,2,1,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,7,2,0,0,4,0,0,0,2,9,1,0,9,96,3,1,6,1,0,0,0,0,1,0,1,0,0,3,1,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0,2,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,2,1,0,1,0,0,1,0,0,0,3,0,0,4,1,0,0,0,0,4,3,0,7,64,11,0,4,19,0,0,0,4,0,0,16,0,0,0,0,1,0,1,0,0,8,0,1,4,0,1,34,2,0,0,0,0,0,0,0,0,1,0,1,1,1,1,2,1,3,1,1,2,3,5,59,15,2,13,1,0,8,1,3,29,1,1,0,1,1,3,3,1,5,71,13,1,9,28,1,1,2,5,76,36,4,102,950,89,2,27,68,5,1,1,1,0,1,26,9,7,67,7,4,2,1,1,1,1,2,1,28,6,3,1,5,1,0,11,58,6,0,9,0,2,2,1,1,1,1,1,2,0,1,1,0,0,2,0,0,0,0,0,0,40,2,0,0,0,0,1,5,1,3,0,0,0,0,0,1,0,0,9,0,0,0,2,0,1,3,8,3,8,53,6,0,0,0,1,6,0,1,0,0,0,0,0,0,8,1,0,0,1,0,2,0,0,3,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,2,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
