Meta -1,-3,-3,-3,-3,-3,-3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3
Meta -2,-2,-2,-1,0,0,1,-3,-3,-3,-3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,1,-3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,-3,-2,-2,-2,-2,-2,-2,-2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,3,-3,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,1,1,2,2,2,3,3,3,3,3
Meta -3,-1,0,-1,0,1,1,-2,-2,0,1,-3,-3,-3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,-2,-2,-2,-2,-1,-1,-1,-1,-1,0,0,0,0,0,0,-1,0,0,0,1,3,0,-1,-3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,-1,-1,-1,-1,-1,0,0,0,-3,-2,-2,-2,-2,-2,-2,-2,-2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,1,-2,-2,-2,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1,1,1,2,0,1,-1,-2,-2,-1,-1,-1,0,1,-2,-2,-2,-2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,1,1,-3,-2,-2,-2,-2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,2,2,-1,-1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,0,1,1,1,2,2,1,0,-1,0,0,0,-2,-2,-2,-1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2,2,-1,-1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,0,0,0,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,3,3,0,0,0,0,0,1,1,-3,0,0,0,1,1,1,1,1,1,1,1,2,2,2,3,0,0,0,0,0,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,3,3,3,1,2,3,0,1,0,1,2,2,2,3,3,3
Meta -4,-1,1,-1,0,1,1,-1,0,1,1,-2,0,1,-3,-3,-2,-2,-2,-2,-1,-1,-1,0,0,-2,-1,-1,-1,0,0,0,0,-1,0,0,-2,-2,-1,-1,-2,-1,-1,-1,0,-2,-1,-1,0,0,1,0,-1,0,0,1,1,0,-1,-2,-3,-2,-2,-2,-2,-1,-1,-1,0,-2,-2,-1,-1,-1,0,0,0,3,-1,-3,-2,-2,-2,-2,-1,-1,0,-3,-2,-2,-2,-2,-1,-1,-1,0,0,0,0,0,1,-2,-2,-2,-1,-1,-1,0,0,0,1,2,1,-2,-1,0,-2,-2,-1,-1,-1,0,0,0,1,-1,-1,0,0,0,1,1,0,1,1,1,0,1,-1,-2,-2,-1,-1,0,0,0,-2,-1,-1,0,-2,-2,-2,-1,-1,-1,-1,-1,0,0,-1,-1,0,0,1,0,1,-1,-2,-1,-1,1,-2,-2,-2,-1,-1,-1,0,0,0,1,-3,-2,-2,-2,-1,-1,-1,-1,0,0,0,0,0,0,1,1,1,1,2,2,-1,0,0,0,0,1,1,1,2,2,2,0,1,0,0,-2,0,0,1,1,2,0,0,0,1,1,1,2,2,2,0,1,1,1,2,2,2,0,0,1,2,2,2,1,0,-1,-1,0,0,-2,-1,0,-1,-1,-1,-1,0,0,1,1,-1,0,0,1,1,1,2,1,2,-1,0,-2,-2,0,0,0,1,1,1,1,2,2,-1,-1,0,0,0,0,1,1,1,1,2,2,2,2,0,0,1,1,1,1,2,2,2,2,3,0,1,1,-3,0,0,0,1,1,1,2,2,3,0,1,1,1,2,2,2,3,3,3,1,3,-1,-1,0,0,1,0,1,0,-1,0,1,0,0,0,1,1,1,2,2,1,2,2,3,0,0,0,1,1,0,0,1,1,1,2,0,0,1,1,1,2,2,2,2,3,1,2,3,0,0,3,0,1,0,0,0,1,2,2,2,3
Meta -5,-1,1,-2,0,1,0,-1,1,1,1,-1,1,1,-2,0,-3,-2,-1,0,-2,-1,0,-1,0,-1,-2,-1,0,-2,-1,0,1,0,-1,0,-2,-1,-1,0,-2,-2,-1,0,0,-1,-1,1,0,1,1,-1,-1,0,1,1,1,0,-1,0,1,-3,-2,-1,0,-2,-1,0,0,-2,-1,-2,-1,0,0,-1,0,1,-1,-2,-3,-2,-1,0,-2,-1,0,-1,-3,-2,-1,0,-2,-1,0,-2,-1,0,1,2,1,-2,-1,0,-2,-1,0,-1,0,1,0,1,1,-2,-1,0,-2,-1,-2,-1,0,-1,0,1,1,-1,0,-1,0,1,0,1,0,0,1,1,0,1,-1,-2,-1,-1,0,-1,0,0,-2,-1,0,3,-2,-1,0,-3,-2,-1,0,1,-1,0,-1,0,-1,0,1,0,1,-1,-2,-1,0,0,-2,-1,0,-2,-1,0,-1,0,1,0,-1,-2,-1,1,-2,-1,0,1,-3,-2,-1,0,1,2,-1,0,1,2,0,1,0,-2,0,1,2,0,1,2,0,1,2,0,2,-1,0,0,0,1,0,1,2,-2,0,1,0,1,2,0,1,2,0,0,1,3,0,1,2,0,0,1,2,1,2,1,0,-1,-1,-1,0,-2,-1,0,-1,-2,-1,0,0,1,1,2,0,0,2,0,1,2,2,0,2,-1,0,-2,-1,-1,0,1,-1,0,1,2,1,2,-1,0,-2,0,1,2,-1,0,1,2,0,1,2,3,0,1,-3,0,1,2,0,1,2,3,1,0,0,1,0,-1,0,1,0,1,2,1,2,3,0,0,1,2,0,1,2,1,2,3,0,2,-1,0,0,1,0,0,1,0,-1,0,1,0,1,2,0,1,2,1,2,1,1,2,3,-1,0,1,0,1,0,1,0,1,2,2,0,1,0,1,2,0,1,2,3,2,0,0,3,0,0,3,0,2,0,0,0,0,0,1,2,2
Meta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-2,1,1,0,0,1,1,1,0,1,1,1,1,0,0,1,0,19,12,6,1,7,7,1,7,1,1,8,3,1,2,7,1,1,1,9,0,0,1,1,1,3,8,4,3,1,1,1,6,2,1,1,1,9,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,4,1,0,2,15,5,0,3,6,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,1,0,0,3,7,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,10,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,1,16,2,1,0,5,3,0,3,1,0,7,0,0,0,1,0,0,0,2,1,1,1,0,1,1,12,4,2,0,0,0,4,0,0,0,1,4,0,0,1,0,1,1,1,1,19,7,2,1,6,1,2,2,1,1,12,2,0,1,4,0,1,1,1,23,6,2,3,14,4,0,1,23,15,4,32,220,37,3,17,36,1,0,0,1,1,1,2,15,8,5,42,4,1,1,1,1,1,1,1,1,0,11,5,1,7,1,0,5,1,9,50,4,1,3,1,0,0,1,0,1,0,1,0,2,0,0,1,0,1,0,1,0,1,0,0,0,1,14,4,1,0,5,1,0,0,8,1,0,1,0,0,0,0,0,0,0,0,0,9,0,1,0,0,0,0,0,0,0,0,13,2,0,0,1,12,65,5,0,0,1,3,0,0,0,0,0,1,0,0,1,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,3,0,3,0,0,1,0,0,0,4,2,0,0,1,1,1,0,3,1,0,9,53,15,0,5,9,0,1,1,0,0,0,0,1,1,1,15,0,0,0,0,0,0,0,0,0,1,6,0,0,1,0,0,3,0,2,25,0,0,0,0,0,2,0,1,1,1,2,0,0,1,1,0,1,1,3,2,1,5,1,1,1,3,62,11,0,2,11,6,0,3,19,1,1,0,1,2,1,1,1,1,4,1,7,63,12,5,19,0,1,1,2,2,1,6,69,22,1,1,4,81,824,90,3,2,15,80,12,2,1,2,1,11,5,1,13,81,4,1,5,6,2,1,1,1,1,11,2,3,2,1,0,13,2,16,78,5,1,1,2,2,1,3,1,1,1,4,2,0,0,1,0,0,0,0,0,1,0,2,0,0,1,0,0,0,0,20,1,3,0,0,2,1,0,2,0,0,0,2,0,0,1,0,0,16,0,0,1,1,0,0,0,0,0,0,17,7,0,1,11,77,3,1,2,4,0,1,0,0,0,1,0,0,0,3,0,0,2,0,0,0,1,0,0,1,2,0,0,0,1,1,0,1,0,0,1,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
