Meta -1,-3,-3,-3,-2,-2,-2,-2,-2,-1,-1,-1,-1,0,0,0,0,0,1,1,1,1,2,2,2,2,2,3,3,3,3
Meta -2,-2,-1,0,-3,-2,-1,0,1,-2,-1,0,1,-2,-1,0,1,2,-1,0,1,2,-1,0,1,2,3,0,1,2,3
Meta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-3,0,0,0,0,3,1,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-2,4,3,1,5,89,34,9,0,12,50,6,1,0,3,14,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0
-1,0,0,0,3,41,31,9,2,64,563,108,3,1,33,124,1,0,0,1,4,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,4,2,0,0,10,121,43,1,5,131,1474,145,4,0,62,118,12,1,1,2,3,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,1,0,0,0,6,130,42,3,0,101,678,80,1,9,36,56,3,0,0,0,0
2,0,0,0,0,0,0,0,0,0,1,1,0,0,2,16,3,0,1,16,55,13,0,10,47,116,3,1,1,1,3
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,0,1,0,1,0,0,2,1,2
