Meta -1,-3,-3,-3,-3,-3,-3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3
Meta -2,-2,-2,-1,-1,-1,0,-3,-3,-3,-3,-3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,1,1,1,-2,-2,-2,-2,-2,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,-1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,-1,-1,0,0,0,0,0,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,0,1,1,1,2,2,3,3,3,3
Meta -3,-2,-1,-1,-1,0,0,-2,-2,-1,-1,0,-3,-3,-3,-2,-2,-2,-2,-1,-1,-1,0,0,-2,-2,-2,-1,-1,0,-1,-1,0,0,0,1,1,-3,-3,-2,-2,-2,-1,-1,-1,0,0,0,1,-2,-2,-2,-2,-2,-1,-1,-1,-1,0,0,0,0,1,1,-2,-1,-1,-1,0,0,0,1,0,1,1,-2,-2,-2,-1,-1,-2,-2,-2,-1,-1,-1,0,0,1,-2,-2,-1,-1,-1,-1,0,0,0,0,0,1,1,1,2,2,2,0,0,0,0,1,1,1,2,2,2,-1,0,1,1,2,-1,-1,-1,0,0,0,1,1,1,2,2,0,0,0,0,1,1,1,2,2,2,2,2,-1,0,0,1,1,1,2,2,2,3,3,-1,0,-1,-1,0,0,1,-1,0,0,1,1,1,2,2,0,0,1,1,1,2,2,2,2,3,3,3,0,1,2,3,3,0,0,1,1,0,2,1,2,3,3
Meta -4,-2,-1,-1,0,0,0,-2,-1,-1,0,0,-2,-1,0,-3,-2,-1,0,-2,-1,0,-1,0,-2,-1,0,-1,0,0,-1,0,-2,0,1,1,1,-2,-1,-3,-2,-1,-2,-1,0,-1,0,1,1,-3,-2,-1,0,1,-2,-1,0,1,-2,-1,0,1,0,1,-2,-2,-1,0,-1,0,1,0,0,0,1,-2,-1,0,-2,-1,-2,-1,0,-2,-1,0,-1,0,1,-2,-1,-2,-1,0,1,-2,-1,0,1,2,0,1,2,-1,0,2,-1,0,1,2,0,1,2,0,1,2,-1,0,-1,1,2,-1,-1,0,-1,0,1,0,1,2,1,2,-1,0,1,2,0,1,2,-1,0,1,2,3,0,-1,0,0,1,2,0,1,2,2,3,-1,-1,-1,0,0,1,1,-1,0,1,0,1,2,1,2,0,1,0,1,2,0,1,2,3,0,1,3,0,0,0,1,3,0,0,0,1,0,2,1,2,1,2
Meta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-2,3,1,1,1,1,1,2,1,0,1,1,1,1,1,1,25,19,6,5,17,5,2,6,2,2,1,21,3,5,1,1,1,3,3,0,0,0,0,0,2,0,1,5,0,1,2,1,0,0,0,0,0,0,7,30,6,0,0,1,6,0,0,0,0,0,0,0,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,1,0,0,0,0,0,0,1,9,0,0,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1,0,0,0,0,0,0,1,0,2,0,0,2,0,0,1,25,6,1,0,6,0,0,0,0,4,2,20,4,1,1,0,0,7,0,1,2,1,2,2,28,3,5,16,1,0,4,0,2,3,29,19,4,1,44,299,71,2,1,18,68,1,1,2,1,1,15,7,7,71,5,1,1,1,1,0,1,0,0,0,1,0,0,4,15,3,1,9,0,0,0,1,10,0,0,0,10,92,5,0,2,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,0,0,1,0,0,0,4,3,0,1,5,86,10,0,0,4,8,0,0,0,0,0,7,2,4,29,1,0,0,1,0,2,0,1,1,1,5,3,1,4,79,9,7,22,1,2,2,8,80,28,1,3,103,1020,100,4,37,73,7,1,1,2,1,29,10,1,7,83,5,0,4,5,1,1,0,0,2,0,0,1,1,37,4,8,7,2,1,1,0,6,1,0,19,82,5,0,0,2,3,0,0,0,1,2,1,1,0,2,5,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,0,0,0,0,2,1,0,1,2,95,12,0,1,15,1,0,0,0,0,13,6,1,0,19,0,1,0,2,0,0,1,1,1,0,4,1,1,58,13,11,11,1,1,0,5,57,22,1,57,403,62,1,8,24,36,2,1,2,6,5,16,7,1,10,29,1,2,0,1,1,1,5,2,0,0,7,0,1,19,0,2,7,1,1,3,9,0,3,9,28,2,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0
