Meta -1,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,4,4,4
Meta -2,-3,-3,-3,-3,-2,-2,-1,-1,-1,0,0,-3,-3,-3,-3,-2,-2,-2,-2,-1,-1,-1,0,0,0,-3,-3,-3,-2,-2,-2,-1,-1,-1,-1,-1,0,0,0,0,0,2,-3,-2,-2,-2,-1,-1,-1,0,0,0,0,0,1,1,1,2,2,2,-1,0,0,0,0,1,1,1,1,2,2,2,2,2,-1,0,0,0,1,1,1,2,2,2,2,3,3,3,3,3,0,0,1,1,2,2,3,3,3,3,4,0,4,4
Meta -3,-3,-2,-1,0,-2,-1,-2,-1,0,-1,0,-3,-2,-1,0,-3,-2,-1,0,-2,-1,0,-1,0,1,-3,-1,0,-2,-1,0,-3,-2,-1,0,2,-3,-2,-1,0,1,1,-2,-2,-1,0,-2,-1,0,-2,-1,0,1,2,0,1,2,0,1,2,0,-1,0,1,2,-1,0,1,2,-1,0,1,2,3,-1,-1,0,1,0,1,2,0,1,2,3,0,1,2,3,4,-1,0,0,1,1,2,0,1,2,3,4,0,0,4
Meta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-3,1,2,1,1,0,2,1,0,0,1,0,0,0,0,0,0,1,0,0,0,2,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-2,3,0,0,0,1,1,0,0,1,0,2,3,2,1,2,5,47,22,6,4,26,10,0,8,0,0,0,0,2,4,1,0,6,33,5,1,0,0,2,13,0,0,0,0,0,0,0,1,0,0,0,11,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,3,28,16,1,3,16,3,1,2,1,1,1,1,42,16,1,3,50,470,78,0,1,1,20,72,2,1,1,2,0,0,1,19,7,0,6,106,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,2,1,0,1,0,0,1,0,0,0,0,4,2,1,0,3,96,13,0,0,1,5,28,0,0,0,5,1,1,5,86,27,7,111,1387,109,7,30,95,4,4,1,3,0,1,36,4,0,0,10,87,12,0,0,2,5,0,0,0,4,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,1,90,17,0,9,12,1,0,0,2,1,1,59,17,1,0,58,466,66,0,4,21,55,1,1,0,4,1,3,19,5,2,6,53,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,19,1,0,0,1,2,0,0,0,0,2,11,1,1,1,9,36,3,1,1,4,5,0,0,1,12,2,11,29,5,13,38,105,9,1,2,3,7,0,0,1,1,1,1,2,2,1,0,4,1,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,0,0,0,0,1,3,1,1,0,1,2,1,1,5,0,0,0,1
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
