Meta -1,-3,-3,-3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3
Meta -2,-1,-1,-1,-3,-3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-2,-2,-2,-2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,-1,0,1,1,2,2,3,3,3,3
Meta -3,-1,-1,0,-1,-1,-3,-3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,-1,-1,-1,-1,-1,-1,0,0,0,-2,-2,-1,-1,-1,-1,-1,-1,0,0,0,-1,0,0,0,0,-3,-2,-2,-2,-2,-2,-2,-2,-1,-1,-1,-1,0,-2,-2,-2,-2,-2,-2,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,1,1,-2,-1,-1,0,-2,-2,-2,-2,-2,-2,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,1,-2,-2,-2,-2,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,2,2,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,0,0,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,3,3,3,-1,0,0,0,1,-1,0,0,0,0,1,1,1,1,1,1,2,2,2,2,0,0,0,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,3,3,3,0,1,2,2,3,3,0,0,1,1,2,2,-1,1,1,3
Meta -4,-1,-1,0,-1,0,-1,-1,-3,-2,-2,-2,-2,-1,-1,-1,0,0,-2,-2,-1,-1,-1,0,0,-1,0,0,-2,0,-2,-1,-1,-1,0,0,-1,0,0,-1,0,0,0,1,-1,-3,-2,-2,-2,-1,-1,0,-2,-1,-1,0,0,-2,-2,-2,-1,-1,-1,-2,-2,-1,-1,-1,0,0,0,-1,-1,-1,0,0,0,1,-2,-1,-1,-1,0,0,1,-1,-1,-1,0,0,0,1,1,1,1,-2,-1,0,0,-3,-2,-2,-1,-1,-1,-2,-2,-1,-1,-1,0,0,0,-1,-1,-1,-1,0,0,1,-2,-1,-1,0,-2,-2,-2,-1,-1,-1,0,0,-2,-2,-2,-1,-1,-1,0,0,0,0,0,1,1,1,2,0,0,0,1,1,1,2,2,2,2,-1,0,0,1,1,1,0,0,0,1,1,1,2,2,2,0,1,1,2,2,1,2,2,2,0,-2,-1,-1,0,-1,0,0,0,0,1,1,0,0,1,1,1,2,2,2,-1,-1,0,0,0,1,1,1,0,0,0,1,1,1,2,2,2,2,0,1,1,1,1,2,2,2,2,3,3,-1,0,-1,0,0,0,1,1,1,2,2,0,1,1,1,2,2,2,2,3,0,3,3,-1,0,0,1,1,-1,0,0,1,2,0,1,1,1,2,2,1,1,2,2,0,0,1,0,0,1,1,1,2,2,0,0,1,1,1,2,2,2,2,3,3,1,2,3,0,1,2,2,-1,3,0,0,0,1,0,2,0,1,1,1
Meta -5,-1,0,0,-1,0,-1,0,-1,-3,-2,-1,0,-2,-1,0,-1,0,-2,0,-2,-1,0,-1,0,-1,0,1,-2,0,-2,-2,-1,0,-1,0,0,-1,0,-1,0,1,2,1,-1,-1,-2,-1,0,-2,-1,0,-2,-1,0,0,0,-3,-2,-1,-2,-1,0,-2,-1,-2,-1,0,-1,0,1,-2,-1,0,-1,0,1,1,-2,-2,-1,0,-1,0,1,-2,-1,0,-1,0,1,0,1,1,0,-2,-1,0,0,-1,-2,0,-2,-1,0,-2,-1,-2,-1,0,-1,0,1,-2,-1,0,1,-1,0,1,-2,-1,0,0,-3,-2,-1,-2,-1,0,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,1,2,0,1,2,2,-1,0,1,0,1,2,1,2,1,2,-2,0,1,0,1,2,-1,0,1,0,1,2,1,2,3,-1,0,1,1,2,0,0,1,2,0,-2,-1,0,0,-1,-2,-1,0,1,0,1,0,1,0,1,2,0,2,2,-1,0,-1,0,1,0,1,2,-1,0,1,0,1,2,0,1,2,3,0,-1,0,1,2,0,1,2,3,0,3,-1,0,-1,0,1,2,0,1,2,1,2,0,0,1,2,0,1,2,3,3,0,-1,3,-1,0,1,1,1,0,0,1,1,2,0,0,1,2,1,2,0,1,1,2,0,1,1,0,1,0,1,2,1,2,0,1,0,1,2,0,1,2,3,1,2,1,2,3,0,1,0,2,0,1,0,-1,-1,1,1,0,0,0,1,1
Meta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-2,1,1,1,1,1,1,0,1,0,26,16,3,3,9,13,0,4,2,2,0,10,3,2,11,1,5,1,3,2,1,1,6,3,1,2,2,2,9,1,5,1,0,1,0,0,5,1,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,1,0,0,14,5,0,3,0,0,2,0,0,2,0,0,0,0,0,0,1,1,0,0,2,0,0,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1,0,0,0,1,0,0,1,0,1,18,9,1,1,4,0,1,2,1,0,1,0,0,0,0,0,1,0,3,0,0,0,12,0,1,0,0,0,3,0,2,0,0,0,0,1,19,3,2,1,1,0,2,10,1,1,0,1,18,2,2,8,1,19,9,27,197,43,13,49,1,1,12,4,9,49,4,1,1,1,12,4,2,2,0,1,4,4,7,49,6,1,3,2,0,0,0,0,0,0,2,0,0,0,0,1,0,0,14,2,1,3,0,1,1,1,0,1,4,1,0,0,0,0,0,1,0,0,7,0,0,4,0,0,0,2,8,3,1,8,82,1,0,1,8,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,5,1,1,0,0,1,1,2,0,2,0,0,5,0,0,3,0,1,2,1,55,15,4,9,0,0,3,0,0,10,0,1,1,0,4,0,0,2,1,0,1,0,6,29,2,0,0,0,1,1,1,1,1,1,4,1,1,2,2,4,3,3,54,10,2,6,1,0,3,1,1,0,32,0,1,1,1,1,1,4,5,7,56,9,5,28,1,1,1,8,64,26,2,87,857,108,3,27,83,12,3,1,24,8,19,81,4,5,7,1,3,1,23,3,2,6,1,0,17,3,15,76,6,2,1,1,0,1,4,2,5,1,1,0,2,0,1,0,0,0,0,0,0,29,3,0,3,1,1,1,6,0,0,1,0,1,0,0,20,1,0,4,0,1,13,7,14,75,6,0,2,3,1,0,0,0,2,1,0,0,1,0,1,0,1,0,0,1,0,0,1,2,1,0,0,0,0,2,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
