Meta -1,-3,-3,-3,-3,-3,-2,-2,-2,-2,-1,-1,-1,0,0,0,0,0,1,1,1,1,1,2,2,2,2,3,3,3
Meta -2,-3,-2,-1,0,1,-3,-2,-1,0,-2,-1,0,-2,-1,0,1,2,-1,0,1,2,3,0,1,2,3,1,2,3
Meta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-3,7,2,1,0,0,0,1,2,0,0,3,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
-2,3,1,2,1,1,4,87,34,8,8,44,15,1,0,14,0,1,0,0,0,0,0,0,0,0,0,0,0,0
-1,0,0,0,0,0,4,42,26,7,60,590,119,2,33,134,4,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,3,5,1,11,130,39,6,142,1631,140,6,0,45,112,16,0,3,4,1,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,2,0,0,5,130,27,1,1,95,566,63,1,8,28,46,4,0,0,1
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2,0,1,19,47,7,0,4,39,109,6,1,5,4
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,2,3,2,0,3,2,5
