Meta -1,-3,-3,-3,-3,-3,-3,-3,-3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3
Meta -2,-3,-3,-3,-2,-2,-1,0,1,-3,-3,-3,-3,-3,-2,-2,-2,-2,-1,-1,-1,0,0,0,-2,-2,-2,-2,-1,-1,-1,0,0,0,0,-2,-2,-2,-1,-1,-1,0,0,0,0,0,1,1,1,2,2,2,-1,0,0,0,0,1,1,1,1,1,2,2,2,2,3,0,0,1,1,1,1,2,2,2,2,3,3,3,1,2,2,2,3,3,3
Meta -3,-3,-2,-1,-2,-1,-1,0,1,-3,-2,-1,0,1,-3,-2,-1,0,-2,-1,0,-2,0,2,-3,-2,-1,0,-2,-1,0,-2,-1,0,1,-2,-1,0,-2,-1,0,-2,-1,0,1,2,0,1,2,0,1,2,-1,-1,0,1,2,-1,0,1,2,3,0,1,2,3,3,0,1,-1,0,1,2,0,1,2,3,1,2,3,0,0,1,2,1,2,3
Meta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-3,4,2,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-2,3,0,0,0,1,2,1,1,1,0,2,1,0,3,54,23,7,6,22,6,0,7,1,0,3,3,2,4,33,7,1,2,12,0,1,0,0,0,0,0,0,2,12,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1,0,0,0,0,0,0,0,0,2,1,0,0,1,1,30,10,1,2,18,6,1,6,0,3,35,17,5,44,454,92,1,25,89,4,1,1,0,1,22,10,1,6,126,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,3,2,0,1,0,1,4,6,0,12,100,18,0,6,33,0,1,4,1,10,104,28,5,132,1366,122,5,38,89,13,2,3,1,0,1,35,9,0,0,10,95,7,0,4,5,6,1,0,2,1,0,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,4,1,0,2,110,17,1,4,20,3,0,1,0,1,3,74,17,1,1,78,432,54,1,3,22,35,3,1,7,1,0,9,14,5,1,8,37,0,0,2,2,0,0,0,0,0,0,1
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,1,1,0,0,0,0,1,1,18,0,0,0,7,38,2,0,1,1,5,0,0,4,0,0,10,28,1,3,30,70,6,1,3,2,1,1,2,2,0,0,4
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,2,0,0,0,2,0,0,0,0,3,1,1,0,3,2,0
