Date,Close,Volume,SMA_21,MSTD_21,Day_of_week,Weekend,Invalid_Days,diff_close_mean,diff_close_mean_z_score,meta
2010-12-22,13.73015785217285,288162.0,13.015494482857841,0.6442688882684617,2,0,0,0.7146633693150086,1.1092625801561506,1
2010-12-23,13.65079307556152,247086.0,13.055554980323429,0.6568533395071278,3,0,0,0.5952380952380913,0.9061963446585053,0
2010-12-24,13.605158090591427,242298.0,13.055554980323429,0.6568533395071278,4,0,1,0.5496031102679986,0.836721193623519,0
2010-12-25,13.559523105621334,237510.0,13.055554980323429,0.6568533395071278,5,1,1,0.5039681252979058,0.7672460425885329,0
2010-12-26,13.513888120651243,232722.0,13.055554980323429,0.6568533395071278,6,1,1,0.4583331403278148,0.6977708915535494,0
2010-12-27,13.46825313568115,227934.0,13.100528489975702,0.650930782985938,0,0,0,0.36772464570544905,0.5649212716882572,0
2010-12-28,13.25396823883057,131670.0,13.153816495622907,0.6126063203695462,1,0,0,0.10015174320766285,0.16348467176644163,0
2010-12-29,13.31746006011963,234612.0,13.224111329941522,0.5341328727786935,2,0,0,0.09334873017810885,0.1747668696975816,0
2010-12-30,13.30952262878418,275688.0,13.295161928449359,0.42594447245034656,3,0,0,0.014360700334821175,0.03371495878842574,0
2010-12-31,13.380951404571533,304101.0,13.295161928449359,0.42594447245034656,4,0,1,0.08578947612217469,0.20140999982615196,0
2011-01-01,13.452380180358885,332514.0,13.295161928449359,0.42594447245034656,5,1,1,0.15721825190952643,0.369105040863874,0
2011-01-02,13.523808956146237,360927.0,13.295161928449359,0.42594447245034656,6,1,1,0.22864702769687817,0.5368000819015961,0
2011-01-03,13.59523773193359,389340.0,13.352229209173293,0.3770424156899325,0,0,0,0.24300852276029694,0.6445124279071544,0
2011-01-04,13.96825313568115,475146.0,13.407028879438128,0.37905566997162454,1,0,0,0.5612242562430225,1.4805853089733094,1
2011-01-05,14.1904764175415,268002.0,13.478079568772088,0.3794274561407519,2,0,0,0.7123968487694121,1.8775574546327567,1
2011-01-06,14.43650722503662,581490.0,13.557066735767183,0.3985250905281567,3,0,0,0.8794404892694363,2.206738070378286,2
2011-01-07,14.29364967346191,537642.0,13.61602360861642,0.4119764273163977,4,0,0,0.6776260648454908,1.6448175670135474,1
2011-01-08,14.243385314941404,469434.0,13.61602360861642,0.4119764273163977,5,1,1,0.6273617063249848,1.5228097161082745,1
2011-01-09,14.193120956420897,401226.0,13.61602360861642,0.4119764273163977,6,1,1,0.577097347804477,1.4008018652029972,1
2011-01-10,14.14285659790039,333018.0,13.673468816848029,0.39629553526427347,0,0,0,0.4693877810523617,1.1844387314112583,1
2011-01-11,14.2857141494751,905058.0,13.729402315048944,0.3958472575484348,1,0,0,0.5563118344261557,1.4053699345336172,1
2011-01-12,14.72222232818604,302022.0,13.781556538173131,0.45011008083599713,2,0,0,0.9406657900129094,2.0898571928577887,2
2011-01-13,14.56349182128906,460908.0,13.804232279459635,0.477447729016588,3,0,0,0.7592595418294259,1.5902464200495692,1
2011-01-14,14.5,295218.0,13.835600444248744,0.5010581063234288,4,0,0,0.6643995557512561,1.3259930282864074,1
2011-01-15,14.46825377146403,315882.0,13.835600444248744,0.5010581063234288,5,1,1,0.6326533272152854,1.262634651013735,1
2011-01-16,14.43650754292806,336546.0,13.835600444248744,0.5010581063234288,6,1,1,0.6009070986793166,1.199276273741066,1
2011-01-17,14.40476131439209,357210.0,13.880951926821755,0.5076947383660755,0,0,0,0.5238093875703349,1.0317408237401111,1
2011-01-18,14.42857074737549,226044.0,13.943688120160784,0.4888587401659171,1,0,0,0.48488262721470576,0.9918665401177815,0
2011-01-19,13.96031665802002,266364.0,13.959183193388439,0.48371242200542114,2,0,0,0.001133464631580594,0.0023432613677386413,0
2011-01-20,13.65079307556152,825678.0,13.980725152151924,0.4575008489297467,3,0,0,-0.3299320765904046,-0.7211616707646122,0
2011-01-21,13.6904764175415,319662.0,13.979213442121234,0.45844918817475505,4,0,0,-0.28873702457973316,-0.6298124896442618,0
2011-01-22,13.730158487955727,311430.0,13.979213442121234,0.45844918817475505,5,1,1,-0.24905495416550671,-0.5432553063450297,0
2011-01-23,13.769840558369953,303198.0,13.979213442121234,0.45844918817475505,6,1,1,-0.20937288375128027,-0.45669812304579754,0
2011-01-24,13.80952262878418,294966.0,13.982992717197963,0.45661688025554176,0,0,0,-0.17347008841378297,-0.37990292500071815,0
2011-01-25,13.638887882232666,351666.0,13.982992717197963,0.45661688025554176,1,0,1,-0.34410483496529665,-0.7535963952377785,0
2011-01-26,13.46825313568115,408366.0,13.97430033910842,0.4649189733377697,2,0,0,-0.5060472034272703,-1.088463221438847,-1
2011-01-27,13.30158710479736,312984.0,13.966363861447288,0.47529620331318795,3,0,0,-0.6647767566499283,-1.3986578306662498,-1
2011-01-28,12.76984119415283,992880.0,13.943310192653112,0.5211107216015762,4,0,0,-1.1734689985002813,-2.2518611685703838,-2
2011-01-29,12.82539653778076,734202.0,13.943310192653112,0.5211107216015762,5,1,1,-1.1179136548723516,-2.145251687465895,-2
2011-01-30,12.88095188140869,475524.0,13.943310192653112,0.5211107216015762,6,1,1,-1.062358311244422,-2.0386422063614065,-2
2011-01-31,12.93650722503662,216846.0,13.925169581458682,0.5498263722897827,0,0,0,-0.9886623564220631,-1.7981355683335511,-1
2011-02-01,13.57936477661133,561.0,13.93801920754569,0.5377393985622996,1,0,0,-0.3586544309343598,-0.6669669953387432,0
2011-02-02,13.61111068725586,436968.0,13.938775062561035,0.5372444163639704,2,0,0,-0.3276643753051758,-0.6098981493800969,0
2011-02-03,13.73015785217285,1506.0,13.927437191917782,0.5391003593226104,3,0,0,-0.1972793397449326,-0.36594177008677525,0
2011-02-04,13.50793552398682,240282.0,13.894935244605655,0.5430097630547174,4,0,0,-0.38699972061883514,-0.7126938536827715,0
2011-02-05,13.53968175252279,287616.0,13.894935244605655,0.5430097630547174,5,1,1,-0.3552534920828645,-0.6542303955722187,0
2011-02-06,13.57142798105876,334950.0,13.894935244605655,0.5430097630547174,6,1,1,-0.32350726354689563,-0.5957669374616692,0
2011-02-07,13.60317420959473,382284.0,13.855252720060802,0.53178696811685,0,0,0,-0.2520785104660721,-0.47402160184317016,0
2011-02-08,13.6904764175415,745.0,13.826530184064593,0.5231434920145557,1,0,0,-0.13605376652309253,-0.2600696913941673,0
2011-02-09,13.29364967346191,215712.0,13.786091759091331,0.5302424404332867,2,0,0,-0.4924420856294205,-0.9287111858247753,0
2011-02-10,13.66666603088379,132174.0,13.756613277253651,0.5181472901404348,3,0,0,-0.08994724636986007,-0.17359397237314786,0
2011-02-11,13.84920597076416,435330.0,13.71504106975737,0.4695429499038461,4,0,0,0.13416490100678935,0.2857350984276601,0
2011-02-12,13.888888359069824,358218.0,13.71504106975737,0.4695429499038461,5,1,1,0.1738472893124534,0.3702478960615939,0
2011-02-13,13.928570747375487,281106.0,13.71504106975737,0.4695429499038461,6,1,1,0.2135296776181157,0.45476069369552397,0
2011-02-14,13.96825313568115,203994.0,13.686696370442709,0.4322492016810907,0,0,0,0.28155676523844164,0.6513760213863194,0
2011-02-15,13.96825313568115,241290.0,13.66137509118943,0.39630381996870817,1,0,0,0.30687804449171985,0.7743504579793117,0
2011-02-16,14.12698364257812,165312.0,13.648147583007812,0.37427451785340504,2,0,0,0.47883605957030717,1.2793712548655438,1
2011-02-17,14.26984119415283,312354.0,13.640589032854352,0.3590174898007046,3,0,0,0.6292521612984778,1.7527061471233174,1
2011-02-18,14.42857074737549,355698.0,13.662886846633185,0.3928179950877982,4,0,0,0.7656839007423049,1.9492078018756955,1
2011-02-19,14.380951881408693,300468.0,13.662886846633185,0.3928179950877982,5,1,1,0.718065034775508,1.8279840632428621,1
2011-02-20,14.333333015441896,245238.0,13.662886846633185,0.3928179950877982,6,1,1,0.6704461688087111,1.7067603246100287,1
2011-02-21,14.2857141494751,190008.0,13.693121183486213,0.4156134452552491,0,0,0,0.5925929659888869,1.4258272266070355,1
2011-02-22,13.80952262878418,441126.0,13.698790050688244,0.4163867290186416,1,0,0,0.11073257809593606,0.26593685720223464,0
2011-02-23,13.67460346221924,874692.0,13.692365328470865,0.4156329288627099,2,0,0,-0.017761866251625236,-0.042734502052632746,0
2011-02-24,13.67460346221924,0.0,13.702191534496489,0.4124970423659785,3,0,0,-0.0275880722772488,-0.06688065475333013,0
2011-02-25,13.41269779205322,314370.0,13.70748251960391,0.4077873852905025,4,0,0,-0.29478472755068985,-0.7228882946947685,0
2011-02-26,13.452380498250324,296058.0,13.70748251960391,0.4077873852905025,5,1,1,-0.2551020213535864,-0.6255760490772783,0
2011-02-27,13.492063204447426,277746.0,13.70748251960391,0.4077873852905025,6,1,1,-0.21541931515648471,-0.5282638034597925,0
2011-02-28,13.53174591064453,259434.0,13.743763696579705,0.3499914522326544,0,0,0,-0.21201778593517595,-0.6057798971451411,0
2011-03-01,13.25396823883057,147294.0,13.75888088771275,0.31885088940436757,1,0,0,-0.5049126488821809,-1.5835384678568336,-1
2011-03-02,13.19841194152832,308070.0,13.740740276518322,0.3397283092197777,2,0,0,-0.5423283349900014,-1.596358973544231,-1
2011-03-03,13.88095188140869,1145718.0,13.753589857192267,0.33968327889717614,3,0,0,0.1273620242164224,0.37494346094962044,0
2011-03-04,13.73015785217285,743022.0,13.753589857192267,0.33968327889717614,4,0,0,-0.023432005019417446,-0.06898192073360912,0
2011-03-05,13.73015785217285,594417.6,13.753589857192267,0.33968327889717614,5,1,1,-0.023432005019417446,-0.06898192073360912,0
2011-03-06,13.73015785217285,445813.2,13.753589857192267,0.33968327889717614,6,1,1,-0.023432005019417446,-0.06898192073360912,0
2011-03-07,13.73015785217285,297208.80000000005,13.753589857192267,0.33968327889717614,0,0,1,-0.023432005019417446,-0.06898192073360912,0
2011-03-08,13.73015785217285,148604.40000000002,13.753589857192267,0.33968327889717614,1,0,1,-0.023432005019417446,-0.06898192073360912,0
2011-03-09,13.73015785217285,0.0,13.764171872820173,0.3350780540809572,2,0,0,-0.03401402064732295,-0.10151073826847797,0
2011-03-10,13.25396823883057,179172.0,13.747543017069498,0.3517191103274494,3,0,0,-0.49357477823892815,-1.4033208993944388,-1
2011-03-11,13.01587295532227,711144.0,13.715419042678107,0.38629911917589727,4,0,0,-0.6995460873558379,-1.810892266200863,-1
2011-03-12,13.19576708475749,596064.0,13.715419042678107,0.38629911917589727,5,1,1,-0.5196519579206171,-1.345206168290534,-1
2011-03-13,13.375661214192709,480984.0,13.715419042678107,0.38629911917589727,6,1,1,-0.33975782848539815,-0.8795200703802096,0
2011-03-14,13.55555534362793,365904.0,13.72789074125744,0.3760944550516486,0,0,0,-0.1723353976295101,-0.45822371299210857,0
2011-03-15,13.66666603088379,279090.0,13.72789074125744,0.3760944550516486,1,0,0,-0.06122471037364896,-0.16279078181368306,0
2011-03-16,13.20634937286377,571158.0,13.697278522309803,0.3915705255455744,2,0,0,-0.4909291494460337,-1.2537438786078783,-1
2011-03-17,13.24603080749512,199080.0,13.662886982872372,0.39824040797438354,3,0,0,-0.4168561753772515,-1.046745049046016,-1
2011-03-18,13.40476131439209,459522.0,13.636054039001465,0.39561146848308537,4,0,0,-0.231292724609375,-0.5846461567361364,0
2011-03-19,13.174602508544924,307154.3333333334,13.636054039001465,0.39561146848308537,5,1,1,-0.4614515304565412,-1.1664260700679634,-1
2011-03-20,12.944443702697756,154786.6666666667,13.636054039001465,0.39561146848308537,6,1,1,-0.6916103363037092,-1.7482059833997947,-1
2011-03-21,12.71428489685059,2419.0,13.568782670157296,0.4268360913319637,0,0,0,-0.8544977733067061,-2.001934210015377,-2
2011-03-22,12.71428489685059,1451520.0,13.494708560761952,0.43400679259968483,1,0,0,-0.7804236639113622,-1.7981830635337595,-1
2011-03-23,12.81746006011963,633906.0,13.417989004225959,0.40188314041723033,2,0,0,-0.600528944106328,-1.494287477406656,-1
2011-03-24,12.50793552398682,847.0,13.333332879202706,0.397174503880035,3,0,0,-0.8253973552158858,-2.0781730628539887,-2
2011-03-25,12.68253898620605,642474.0,13.279666991460891,0.4056628628894234,4,0,0,-0.5971280052548416,-1.4719809474341954,-1
2011-03-26,12.6216926574707,584556.0,13.279666991460891,0.4056628628894234,5,1,1,-0.6579743339901913,-1.621973303899755,-1
2011-03-27,12.56084632873535,526638.0,13.279666991460891,0.4056628628894234,6,1,1,-0.7188206627255411,-1.7719656603653144,-1
2011-03-28,12.5,468720.0,13.223733493259974,0.4288037597520954,0,0,0,-0.7237334932599744,-1.6877965195043694,-1
2011-03-29,12.53968238830566,477288.0,13.169689632597423,0.4404974436048962,1,0,0,-0.6300072442917628,-1.4302177082708505,-1
2011-03-30,12.53968238830566,477288.0,13.128117470514207,0.45729219219669864,2,0,0,-0.5884350822085462,-1.2867813889012085,-1
2011-03-31,12.44444370269775,1148112.0,13.076341174897694,0.4706655077364618,3,0,0,-0.6318974721999435,-1.3425616745082578,-1
2011-04-01,12.53968238830566,877086.0,13.042327562967936,0.48283932322848255,4,0,0,-0.5026451746622751,-1.0410195493220429,-1
2011-04-02,12.486772219340004,659988.0,13.042327562967936,0.48283932322848255,5,1,1,-0.5555553436279315,-1.1506008663777354,-1
2011-04-03,12.433862050374346,442890.0,13.042327562967936,0.48283932322848255,6,1,1,-0.6084655125935896,-1.2601821834334317,-1
2011-04-04,12.38095188140869,225792.0,13.00340089343843,0.5021907357980788,0,0,0,-0.6224490120297403,-1.2394673331449408,-1
2011-04-05,12.38095188140869,0.0,12.931972322009859,0.4771852303547696,1,0,0,-0.5510204406011692,-1.1547307115761019,-1
2011-04-06,12.5,1805580.0,12.873393376668295,0.44897402364790456,2,0,0,-0.37339337666829486,-0.8316591985310898,0
2011-04-07,12.73015785217285,759654.0,12.825774329049247,0.40437640136286596,3,0,0,-0.09561647687639763,-0.23645414656775796,0
2011-04-08,12.81746006011963,340326.0,12.804988225301107,0.3923041726765124,4,0,0,0.01247183481852332,0.03179123671673865,0
2011-04-09,12.825396219889324,511938.0,12.804988225301107,0.3923041726765124,5,1,1,0.020407994588216738,0.052020845072797216,0
2011-04-10,12.833332379659016,683550.0,12.804988225301107,0.3923041726765124,6,1,1,0.02834415435790838,0.07225045342885125,0
2011-04-11,12.84126853942871,855162.0,12.796673729306175,0.38945111516777775,0,0,0,0.04459481012253441,0.11450682354144169,0
