Meta -1,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3
Meta -2,-3,-3,-3,-3,-2,-1,-1,-1,-1,0,-3,-3,-2,-2,-2,-2,-1,-1,-1,0,0,0,-3,-2,-2,-2,-1,-1,-1,-1,-1,0,0,0,0,1,1,-2,-2,-1,-1,-1,0,0,0,0,0,1,1,1,1,2,2,2,2,-1,0,0,0,0,0,1,1,1,1,2,2,2,2,0,0,0,1,1,1,2,2,2,2,3,3,3,0,1,2,2,2,3,3,3,3
Meta -3,-3,-2,-1,0,-1,-2,-1,0,1,0,-3,-1,-3,-2,-1,0,-2,-1,0,-2,-1,0,-3,-2,-1,0,-3,-2,-1,0,1,-2,-1,0,1,1,2,-2,-1,-2,-1,0,-2,-1,0,1,2,-1,0,1,2,0,1,2,3,-1,-2,-1,0,1,2,-1,0,1,2,0,1,2,3,0,1,2,0,1,2,0,1,2,3,0,2,3,0,1,0,1,2,0,1,2,3
Meta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-3,0,1,2,0,1,1,0,0,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-2,1,0,0,2,0,0,1,1,0,0,3,2,4,37,15,4,1,12,8,1,1,4,0,0,3,0,0,1,24,4,0,0,4,10,0,0,0,1,0,0,1,0,0,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1,2,0,0,0,0,0,0,0,0,0,0,0,1,20,6,1,2,14,5,0,0,6,2,22,17,3,2,39,380,70,3,0,16,72,1,3,0,0,1,2,19,7,2,7,109,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,3,0,0,0,0,0,6,1,2,0,2,86,15,0,1,8,39,0,0,0,3,1,7,82,37,2,115,964,96,5,1,27,78,2,1,1,2,1,1,0,1,24,8,0,0,19,73,7,0,0,5,1,1,0,0,0,1,0,0,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,1,4,0,4,87,8,0,0,5,21,3,0,0,1,0,1,0,4,62,18,1,1,62,395,44,1,14,36,1,1,0,0,3,7,4,1,11,36,0,1,0,1,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,1,0,0,1,0,0,1,0,13,3,0,0,3,31,1,0,0,6,0,6,1,1,14,24,2,6,27,70,6,0,5,1,1,0,1,2,2,0,0,0,3
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,3,0,1,1,0,0,0,0,0,1,1,0,1,0,1,1,1,2
