Meta -1,-3,-3,-3,-3,-3,-3,-3,-3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3
Meta -2,-3,-3,-2,-2,-2,-1,-1,0,-3,-3,-3,-3,-3,-3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-2,-2,-2,-2,-2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,-1,-1,-1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,1,1,2,2,2,3,3,3,3,3,3
Meta -3,-3,-1,-2,-2,-2,-1,-1,0,-3,-2,-2,-2,-1,0,-3,-3,-3,-3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,-1,-1,-1,-1,-1,-1,0,0,-2,-2,-2,-2,-1,-1,-1,-1,-1,-1,0,0,0,0,-1,-1,-1,0,0,0,2,2,-3,-2,-2,-2,-2,-2,-2,-2,-2,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,1,-2,-2,-2,-1,-1,-1,-1,0,0,0,0,0,0,0,0,1,1,1,1,1,-2,-1,-1,0,0,-2,-2,-2,-2,-2,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,-2,-2,-2,-2,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2,2,2,2,2,0,0,0,0,1,1,1,1,1,1,1,1,1,2,2,2,2,2,-1,0,1,1,2,2,2,-2,-1,-1,-1,0,0,0,0,0,0,1,1,1,1,1,1,1,2,-2,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,3,-1,0,0,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,-1,-1,0,-1,0,0,0,1,1,1,0,0,0,0,0,1,1,1,1,1,1,2,2,2,2,-1,0,0,0,0,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,1,2,3,3,3,0,1,0,1,1,1,2,2,3,3,3
Meta -4,-1,-1,-3,-2,-1,-2,-1,0,-3,-2,-2,-2,-1,0,-3,-2,-1,0,-3,-3,-2,-2,-2,-2,-1,-1,-1,0,0,-2,-2,-1,-1,-1,0,0,-1,0,-2,-2,-1,0,-2,-1,-1,-1,0,0,-1,-1,0,1,-1,-1,0,0,0,0,0,2,-2,-3,-2,-2,-2,-1,-1,-1,0,-2,-2,-1,-1,-1,0,0,0,-1,0,2,-3,-2,-2,-2,-1,-1,-1,0,0,0,-2,-2,-2,-2,-1,-1,-1,0,0,0,0,-2,-2,-1,-1,0,0,0,1,1,1,1,-1,-1,0,-1,-1,-1,0,-1,-1,0,0,0,0,1,1,0,1,1,2,0,0,-2,-1,0,2,-2,-2,-1,-1,0,-2,-2,-1,-1,-1,0,0,1,-2,-1,-1,0,0,-2,-1,0,0,-2,-2,-2,-1,-1,-1,-1,0,0,-2,-2,-2,-1,-1,-1,0,0,0,0,0,1,1,1,2,2,2,2,0,0,1,1,1,2,2,-1,0,1,1,2,-1,0,1,1,0,0,0,1,1,1,1,2,2,0,1,1,2,2,-1,0,0,1,2,2,2,-1,-1,-1,0,-1,0,0,0,0,1,0,0,1,1,1,2,2,2,-2,-1,-1,0,0,1,1,1,-2,0,0,0,1,1,1,1,2,2,2,3,-1,0,1,1,1,2,2,2,2,2,-1,-1,0,0,0,1,1,1,2,0,0,1,1,2,2,2,3,1,-1,0,1,-1,0,0,0,0,0,1,0,0,1,1,2,0,1,1,1,2,2,0,1,1,2,0,-1,0,1,1,0,0,0,1,1,1,2,2,-1,0,0,0,1,1,1,2,2,2,2,3,3,3,1,2,3,3,1,1,2,3,3,0,0,0,0,2,0,0,1,1,2,3
Meta -5,-1,-2,-1,-2,0,-1,-1,1,-1,-3,-2,-1,-1,0,-3,-2,-1,0,-2,0,-3,-2,-1,0,-2,-1,0,-1,0,-2,-1,-2,-1,0,-1,0,0,0,-2,0,-1,-1,-2,-2,-1,0,-1,0,-1,0,0,1,-1,0,0,-1,0,1,0,2,-2,-3,-2,-1,0,-2,-1,0,0,-2,0,-2,-1,0,-1,0,1,-1,0,2,-2,-3,-2,-1,-2,-1,0,-1,0,2,-3,-2,-1,0,-2,-1,0,-2,-1,0,1,-1,0,-1,0,-1,0,1,0,1,2,0,-2,-1,0,-2,-1,0,0,-1,0,-1,0,1,2,0,1,0,0,1,2,0,0,-2,-1,0,0,-2,-1,-1,0,0,-2,-1,-2,-1,0,-1,0,1,-1,-1,0,-1,0,0,-1,0,2,-2,-1,0,-2,-1,0,1,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,1,2,0,1,2,-1,0,1,2,0,1,0,1,2,1,2,-1,0,0,1,2,-1,0,0,1,-1,0,1,-2,0,1,2,-1,2,-1,0,1,1,2,0,0,0,1,-1,0,1,0,-2,-1,-2,-1,-1,0,1,2,1,-1,0,0,1,2,0,1,2,-1,-1,0,0,1,0,1,2,-2,-1,0,1,0,1,2,3,0,1,2,2,-1,0,0,1,2,0,1,2,3,1,-1,-1,0,0,1,0,1,2,2,0,1,0,1,0,1,2,3,0,-1,0,1,-1,-1,0,1,0,1,0,0,1,0,1,2,0,0,1,2,0,2,0,0,1,2,1,-1,0,0,1,0,1,2,0,1,2,0,1,0,-1,0,1,0,1,2,0,1,2,3,1,2,3,1,1,2,3,0,0,0,1,3,-1,0,0,0,1,0,0,2,0,1,2
Meta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-2,1,0,1,1,1,0,1,1,1,1,0,1,1,1,0,2,0,1,2,1,3,8,4,2,1,4,2,2,2,0,2,2,3,1,1,2,2,6,1,0,2,0,2,0,4,1,0,1,0,1,5,0,0,0,2,0,7,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,2,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,1,3,11,3,0,0,2,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,10,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,9,3,1,0,2,1,0,4,1,0,0,2,0,0,1,0,1,0,1,0,2,1,1,11,1,1,1,3,0,6,1,2,1,0,1,1,0,0,1,1,1,12,2,2,0,2,1,0,1,2,1,11,1,3,5,1,1,1,1,1,1,11,3,3,9,7,1,1,1,1,13,15,2,25,194,33,3,5,36,4,2,1,5,2,7,43,4,2,1,1,0,1,1,1,1,5,2,2,4,3,8,49,4,0,1,3,2,0,1,1,1,0,1,2,1,0,0,0,0,0,0,0,1,0,11,3,1,1,0,0,0,0,1,3,0,0,0,0,0,0,0,0,6,2,0,0,3,0,0,0,2,6,0,0,7,73,2,1,3,1,0,0,0,0,1,1,0,0,2,1,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,2,0,0,4,1,0,0,0,0,2,3,0,3,47,10,0,2,16,0,0,0,2,0,0,15,0,0,0,0,1,0,1,0,0,6,0,1,4,0,0,24,0,0,0,0,0,0,0,0,0,1,0,1,1,1,2,1,1,1,1,2,3,3,46,12,1,13,1,0,6,1,3,19,1,1,1,1,3,2,1,5,54,12,1,7,19,1,1,2,4,62,26,4,79,788,74,2,21,56,5,1,1,1,0,21,6,4,55,7,4,2,1,1,1,1,2,0,22,4,2,1,2,1,0,8,49,5,0,8,0,2,2,1,1,1,1,1,1,0,1,1,0,0,1,0,0,0,33,1,0,0,1,3,0,3,0,0,0,0,0,1,0,5,0,0,2,0,1,3,6,2,8,43,5,0,0,0,6,0,1,0,0,0,0,0,0,7,1,0,0,1,0,2,0,0,3,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,3,66,6,0,1,8,1,0,0,1,1,0,0,0,5,0,0,0,0,0,0,0,0,1,8,0,0,0,1,1,1,3,6,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,1,1,3,1,0,2,31,8,2,4,0,4,2,5,1,1,1,0,1,3,1,34,3,4,6,2,0,1,31,9,29,245,27,1,2,8,23,1,0,2,3,5,1,4,5,21,0,1,1,0,3,3,0,1,3,1,1,3,1,1,4,3,4,23,1,1,1,0,0,1,0,4,0,0,0,0,5,0,0,1,0,2,0,7,1,0,1,0,0,0,1,0,0,3,1,0,2,0,0,0,5,0,0,0,0,0,1,2,1,4,0,1,7,15,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,12,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0,1,0,1,0,2,0,0,0,1,0,0,0,2,1,0,0,0,0,0,0,1,4,15,1,0,0,1,1,0,0,1,0,0,0,0,0,2,0,0,0,0,1,0,1,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,7,1,2,1,1,4,1,1,1,1,1,1,12,1,1,1,1,1,2,0,1,1,5,2,1,3,2,1,1,9,2,1,3,0,0,4,0,4,8,4,3,9,10,3,1,1,2,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,1,0,1,0,1
