Meta -1,-3,-3,-3,-3,-2,-2,-2,-2,-1,-1,-1,-1,0,0,0,0,0,0,1,1,1,1,1,2,2,2,2,3,3,3
Meta -2,-3,-2,-1,0,-3,-2,-1,0,-2,-1,0,1,-3,-2,-1,0,1,2,-1,0,1,2,3,0,1,2,3,1,2,3
Meta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-3,2,1,0,1,0,2,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-2,2,2,0,0,1,67,29,4,4,38,10,0,0,0,2,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0
-1,0,0,0,0,3,30,21,8,46,489,97,0,0,0,31,109,3,0,0,0,0,1,0,0,0,0,0,0,0,0
0,0,0,1,0,0,2,2,1,12,104,35,1,1,5,115,1188,110,3,0,35,106,9,0,0,2,2,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,101,33,1,1,90,514,57,0,6,37,37,0,0,1,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,3,0,0,14,40,13,1,9,29,83,3,1,1,1
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,1,0,2
