Meta -1,-3,-3,-3,-3,-3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3
Meta -2,-2,-2,-1,-1,0,-3,-3,-3,-2,-2,-2,-2,-1,-1,-1,0,0,0,1,-2,-2,-2,-2,-2,-1,-1,-1,-1,0,0,0,0,1,1,-2,-2,-1,-1,-1,0,0,0,0,0,1,1,1,2,2,2,2,-1,0,0,0,0,1,1,1,2,2,2,2,-1,0,0,0,1,1,1,1,2,2,2,2,3,3,3,3,0,1,1,2,3,3
Meta -3,-2,-1,-1,0,0,-2,-1,0,-3,-2,-1,0,-2,-1,0,-1,0,1,1,-3,-2,-1,0,1,-2,-1,0,1,-2,-1,0,1,0,1,-2,-1,-2,-1,0,-2,-1,0,1,2,0,1,2,-1,0,1,2,-1,-1,0,1,2,0,1,2,0,1,2,3,-1,-1,0,1,-1,0,1,2,0,1,2,3,0,1,2,3,0,0,1,0,1,3
Meta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-3,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-2,3,1,2,1,1,3,1,1,3,44,23,5,5,20,5,1,4,0,0,0,2,6,4,0,0,36,5,0,0,0,6,0,0,0,0,0,0,1,1,0,0,9,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1,0,0,0,0,0,1,2,0,2,26,6,0,6,19,1,1,7,1,1,3,26,18,4,1,47,349,70,3,1,16,69,1,1,2,1,0,1,17,7,0,11,90,4,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,6,2,1,0,5,81,11,0,0,9,29,0,0,0,1,2,8,74,27,3,96,939,98,2,35,76,9,1,1,0,0,0,1,35,14,2,6,82,4,0,4,7,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,2,0,2,90,15,0,16,13,2,0,0,2,1,0,5,60,15,1,68,411,55,6,21,34,2,0,2,4,0,0,5,17,7,2,11,35,0,0,0,1,1,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,9,1,0,0,2,0,0,0,0,0,1,0,10,2,0,5,38,4,0,4,7,0,0,0,4,2,0,7,29,4,4,29,52,3,1,1,0,1,1,1,0,1,1,1
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0
