Meta -1,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,4,4,4
Meta -2,-3,-3,-3,-3,-2,-2,-1,-1,-1,0,0,-3,-3,-3,-3,-2,-2,-2,-2,-1,-1,-1,0,0,0,-3,-3,-3,-2,-2,-2,-1,-1,-1,-1,-1,0,0,0,0,0,2,-3,-2,-2,-1,-1,-1,0,0,0,0,0,1,1,1,2,2,2,0,0,0,1,1,1,2,2,2,2,2,-1,0,0,0,1,1,1,2,2,2,2,3,3,3,3,3,0,0,1,1,2,2,3,3,3,3,4,0,4,4
Meta -3,-3,-2,-1,0,-2,-1,-2,-1,0,-1,0,-3,-2,-1,0,-3,-2,-1,0,-2,-1,0,-1,0,1,-3,-1,0,-2,-1,0,-3,-2,-1,0,2,-3,-2,-1,0,1,1,-2,-2,-1,-2,-1,0,-2,-1,0,1,2,0,1,2,0,1,2,-1,0,1,0,1,2,-1,0,1,2,3,-1,-1,0,1,0,1,2,0,1,2,3,0,1,2,3,4,-1,0,0,1,1,2,0,1,2,3,4,0,0,4
Meta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-3,1,2,1,1,0,2,1,0,0,1,0,0,0,0,0,0,1,0,0,0,2,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-2,3,0,0,0,1,1,0,0,1,0,2,3,2,1,2,5,34,19,4,4,22,8,0,6,0,0,0,0,2,4,1,0,6,29,5,1,0,0,2,10,0,0,0,0,0,0,1,0,0,0,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,3,24,13,1,3,16,2,1,1,1,1,1,1,36,15,1,3,44,412,62,0,1,1,16,58,1,1,1,2,0,1,15,6,0,4,82,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,2,1,0,1,0,0,0,0,0,0,0,3,2,0,0,2,78,10,0,0,1,4,20,0,0,0,4,1,3,69,19,5,86,1119,83,7,26,70,3,4,1,3,1,29,4,8,64,8,0,0,0,5,0,0,0,4,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,67,13,0,7,8,1,0,0,0,0,41,12,41,354,51,0,4,16,40,1,1,0,4,1,1,14,5,1,3,42,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,17,1,0,0,1,1,0,0,0,2,9,0,3,27,2,1,1,4,5,0,0,1,10,1,9,17,5,11,27,83,9,1,2,3,7,0,0,1,1,1,1,2,2,1,0,4,1,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,0,0,0,0,1,3,1,1,0,1,2,1,1,5,0,0,0,1
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
