Meta -1,-3,-3,-3,-3,-2,-2,-2,-2,-1,-1,-1,-1,-1,0,0,0,0,0,1,1,1,1,2,2,2,2,3,3,3,3
Meta -2,-3,-2,-1,0,-3,-2,-1,0,-3,-2,-1,0,1,-2,-1,0,1,2,-1,0,1,2,0,1,2,3,0,1,2,3
Meta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-3,3,1,2,2,0,0,1,0,0,1,1,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-2,3,0,2,0,5,60,21,6,0,3,29,14,0,1,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1,2,0,0,0,0,28,21,6,2,42,494,89,3,1,28,122,1,0,0,0,3,1,0,0,0,0,0,0,0,0
0,0,0,0,0,0,4,3,0,0,9,103,48,0,4,127,1182,108,5,1,33,99,6,1,1,4,1,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,2,0,0,1,5,99,29,1,1,85,502,52,1,14,48,2,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,1,0,17,35,6,8,40,109,6,1,0,5,3
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,1,3,2,0,1,1,1,5
