Meta -1,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3
Meta -2,-3,-3,-3,-3,-3,-3,-2,-1,-1,-1,-1,0,-3,-3,-3,-3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,-1,-1,-1,-1,-1,0,0,0,0,-3,-2,-2,-2,-2,-2,-2,-2,-2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,1,1,-2,-2,-2,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,2,2,2,2,2,-1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,0,0,0,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,0,1,2,2,2,2,3,3,3,3,3,3,3
Meta -3,-3,-3,-2,-1,-1,0,-1,-2,-1,0,1,0,-3,-3,-1,-1,-3,-3,-2,-2,-2,-2,-1,-1,-1,0,0,0,-2,-1,-1,-1,0,0,-2,-1,0,0,-3,-2,-2,-2,-2,-1,-1,-1,0,-3,-2,-2,-2,-1,-1,-1,-1,-1,0,0,0,1,-2,-1,-1,-1,0,0,0,0,1,1,2,-2,-2,-1,-2,-2,-2,-1,-1,-1,0,0,0,-2,-2,-1,-1,-1,0,0,0,0,0,1,1,1,1,2,2,2,2,-1,0,0,0,1,1,1,2,2,0,1,2,2,3,-1,-2,-1,-1,0,0,0,1,1,1,2,-1,0,0,0,0,1,1,1,1,2,2,2,2,0,1,1,1,2,2,2,3,3,0,1,2,0,0,0,1,1,1,2,0,0,0,1,1,1,2,2,2,2,3,3,0,2,2,2,3,0,1,0,1,2,2,0,1,2,3,3,3,3
Meta -4,-2,-1,-1,-2,1,0,0,0,-1,0,2,0,-3,0,-1,0,-3,-1,-3,-2,-1,0,-2,-1,0,-2,-1,0,-1,-2,-1,0,-1,0,-2,-1,-1,0,-3,-3,-2,-1,0,-2,-1,0,0,-3,-2,-1,0,-3,-2,-1,0,1,-1,0,1,1,-1,-2,-1,0,-2,-1,0,1,0,1,2,-2,0,-1,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,-2,-1,0,-2,-1,0,1,2,-1,0,1,2,0,1,2,3,-1,-1,0,1,0,1,2,2,3,0,1,1,2,3,-1,-1,-1,0,-1,0,1,0,1,2,2,-1,-1,0,1,2,-1,0,1,2,0,1,2,3,0,0,1,2,0,1,2,0,3,0,2,2,-2,0,1,0,1,2,2,0,1,2,0,1,2,0,1,2,3,2,3,0,0,1,2,3,0,0,0,1,0,1,0,1,1,0,1,2,3
Meta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-3,0,0,1,1,1,0,1,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-2,0,1,0,0,0,2,0,0,1,1,0,0,1,2,1,1,2,2,3,21,11,2,1,8,6,1,1,2,1,1,8,3,3,5,1,1,1,3,0,0,0,0,0,0,3,0,0,0,1,0,0,0,2,20,2,0,0,4,0,0,0,0,3,1,1,1,7,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,13,4,2,0,4,2,0,0,1,2,0,13,1,1,4,0,0,0,6,2,1,16,4,1,2,11,4,3,2,19,17,3,2,33,292,51,2,14,55,1,3,0,2,10,4,1,3,67,1,1,3,0,0,0,1,2,0,0,0,15,4,0,1,6,2,0,0,6,1,0,14,91,3,1,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,4,2,0,0,0,1,2,0,2,0,0,0,4,65,16,1,2,13,0,0,1,0,6,2,0,3,34,2,0,0,0,3,0,1,4,1,2,2,69,11,1,7,29,1,1,7,73,34,2,96,780,82,4,1,25,68,2,1,1,2,1,1,1,19,7,15,58,5,2,0,1,1,1,1,1,1,0,0,1,0,21,3,1,5,2,0,0,2,13,3,1,0,14,57,2,1,3,3,0,0,0,0,0,0,1,4,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,4,0,0,0,3,1,0,3,74,10,0,0,2,6,0,0,0,0,0,0,0,4,1,4,15,2,2,1,0,0,0,1,0,1,0,1,3,4,53,5,4,13,1,1,1,2,45,15,0,1,40,315,39,0,10,33,1,1,3,7,4,1,9,26,1,0,1,0,0,0,3,0,0,7,0,4,1,0,0,2,9,0,2,4,25,5,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
