Meta -1,-3,-3,-3,-3,-2,-2,-2,-2,-1,-1,-1,-1,0,0,0,0,0,1,1,1,1,1,2,2,2,2,2,3,3,3
Meta -2,-3,-2,-1,0,-3,-2,-1,0,-2,-1,0,1,-2,-1,0,1,2,-2,0,1,2,3,-1,0,1,2,3,1,2,3
Meta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-3,1,0,1,0,0,3,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-2,1,3,1,1,5,53,17,10,7,27,16,0,0,5,12,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
-1,0,0,0,0,1,26,29,6,49,437,89,1,4,21,111,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1,4,3,6,108,36,0,4,116,1341,108,6,0,42,91,9,0,1,2,2,4,0,0,0,0
1,0,0,0,0,0,1,0,0,0,0,0,0,0,6,95,24,1,1,66,476,53,1,1,5,18,44,0,0,1,0
2,0,0,0,0,0,0,0,0,0,2,1,0,0,2,15,4,0,0,17,29,6,0,1,13,29,85,5,1,1,3
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,3,0,0,1,2,3
