Meta -1,-3,-3,-3,-3,-3,-3,-3,-3,-3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3
Meta -2,-3,-3,-3,-3,-2,-2,-2,-1,0,-3,-3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,-2,-2,-2,-2,-2,-2,-2,-2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,1,-3,-2,-2,-2,-2,-2,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,2,2,-1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,3,0,0,0,0,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,1,1,2,3,3,3
Meta -3,-3,-3,-2,0,-2,-2,0,-1,0,-3,-2,-3,-2,-2,-2,-2,-1,-1,-1,0,0,0,-2,-2,-2,-1,-1,-1,0,-1,0,0,1,1,-3,-3,-2,-2,-1,-1,-1,0,-2,-2,-2,-2,-1,-1,-1,0,0,0,-1,-1,-1,0,0,0,0,1,1,2,-1,-2,-2,-1,-1,0,-2,-2,-2,-1,-1,-1,0,0,1,-3,-2,-2,-2,-1,-1,-1,-1,0,0,0,0,0,1,1,1,2,2,0,0,0,1,1,1,2,2,2,1,2,0,-1,-1,0,0,0,1,1,1,2,-1,0,0,0,0,1,1,1,1,2,2,2,0,0,1,1,1,1,2,2,2,2,2,0,0,1,1,0,0,0,1,1,1,2,2,2,3,0,0,1,1,1,2,2,2,2,3,3,3,1,2,3,1,1,2,1,3,3
Meta -4,-2,0,0,0,-2,-1,-1,-1,0,-3,-2,-2,-3,-2,-1,0,-2,-1,0,-1,0,1,-2,-1,0,-2,-1,0,0,-1,-3,0,0,1,-3,-2,-2,-1,-2,-1,0,0,-3,-2,-1,0,-2,-1,0,-1,0,1,-2,-1,0,-2,-1,0,1,0,1,1,-1,-2,0,-1,0,1,-2,-1,0,-2,-1,0,-1,0,2,-1,-2,-1,0,-2,-1,0,1,-2,-1,0,1,2,0,1,2,1,2,-1,0,1,0,1,2,0,1,2,1,2,-1,-1,0,-1,0,1,0,1,2,1,0,-1,0,1,2,-1,0,1,2,0,1,2,0,1,0,1,2,3,0,1,2,3,2,-1,0,0,1,-1,0,1,0,1,2,0,1,2,2,0,1,0,1,2,0,1,2,3,1,2,3,1,2,3,0,1,2,1,1,3
Meta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-3,0,0,1,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-2,1,1,0,0,1,1,0,0,0,0,1,1,1,23,16,2,0,16,5,0,2,1,0,1,0,0,10,11,7,1,1,1,1,0,0,0,1,0,0,2,0,1,0,0,0,1,2,21,3,1,10,0,0,0,0,0,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,2,5,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1,0,0,0,0,0,0,0,0,0,2,1,0,0,18,4,1,1,4,2,0,0,0,1,1,1,1,15,0,2,0,0,8,0,0,2,1,15,7,3,11,1,6,3,20,14,5,38,287,52,17,51,2,1,17,4,2,9,58,3,1,2,0,0,0,0,0,0,0,1,0,0,1,19,4,2,4,0,0,0,1,1,0,8,3,0,0,15,77,1,0,0,3,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,7,0,0,3,1,1,0,2,1,0,2,68,15,4,11,1,0,6,2,0,1,26,0,0,0,1,1,1,1,1,1,1,6,4,1,2,64,10,6,21,1,0,2,1,0,10,66,22,1,2,80,821,83,3,20,65,8,1,2,1,17,6,14,57,6,1,4,3,1,2,0,0,1,1,21,3,2,7,0,0,0,0,13,4,0,0,7,73,3,0,1,5,0,1,0,3,1,0,0,1,2,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,1,2,1,0,0,1,74,9,0,4,9,0,0,0,0,5,3,3,21,0,0,0,1,1,0,1,1,1,3,54,9,6,14,1,1,1,2,47,16,1,1,55,304,40,1,25,21,1,1,5,17,6,0,1,3,23,0,0,0,4,0,2,0,5,1,3,17,3,3,1,3,1,1,0,2,5,0,2,8,17,1,0,0,1,0,0,0,0,0,1,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,10,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,1,0,0,9,1,0,3,0,0,0,0,5,1,0,0,4,22,4,1,2,1,3,0,0,3,0,1,0,3,3,0,1,1,7,1,0,1,5,2,3,11,1,0,3,3,0,7,1,6,10,6,6,11,33,1,1,1,0,1,1,1,0,1,1,0,0,1
