Meta -1,-3,-3,-3,-3,-3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3
Meta -2,-2,-2,-1,0,0,-3,-3,-2,-2,-2,-2,-1,-1,-1,0,0,0,0,1,-3,-2,-2,-2,-2,-1,-1,-1,-1,-1,0,0,0,0,1,1,-3,-2,-2,-2,-2,-1,-1,-1,-1,0,0,0,0,0,0,1,1,1,1,2,2,2,3,-3,-1,-1,0,0,0,0,0,1,1,1,1,2,2,2,3,0,0,1,1,1,1,1,2,2,2,2,3,3,3,1,1,2,2,2,3,3
Meta -3,-1,0,-1,0,1,-2,0,-3,-2,-1,0,-2,-1,0,-1,0,1,3,0,-1,-3,-2,-1,0,-3,-2,-1,0,1,-2,-1,0,1,0,1,-1,-2,-1,0,1,-2,-1,0,1,-3,-2,-1,0,1,2,-1,0,1,2,0,1,2,1,0,-1,0,-2,-1,0,1,2,-1,0,1,2,0,1,2,3,0,1,-3,0,1,2,3,0,1,2,3,1,2,3,0,1,0,1,2,2,3
Meta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-2,1,1,0,0,1,1,1,2,38,18,9,2,15,9,1,10,0,0,0,0,0,2,3,0,0,2,31,5,0,1,3,9,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,15,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1,0,0,1,0,0,1,0,0,25,8,2,3,18,4,0,4,0,1,0,1,1,32,16,4,1,44,294,62,1,3,23,54,1,0,1,0,1,2,1,0,2,21,9,1,0,0,7,81,4,0,0,1,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1,0,0,0,0,0,4,0,0,0,4,1,0,2,0,0,1,0,0,1,6,1,0,7,73,14,0,0,7,26,2,1,1,1,1,2,0,1,6,72,25,1,1,4,90,996,107,3,1,17,96,11,2,1,0,0,0,0,2,1,0,19,4,2,0,19,100,4,2,4,6,0,2,0,0,0,0,1,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0
1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,2,1,1,0,0,1,0,0,0,0,5,90,13,0,1,6,20,1,0,0,3,0,0,1,1,3,0,82,22,1,2,81,399,47,5,19,31,0,5,2,1,2,17,3,1,3,5,33,2,0,0,0,0,0,0,0,0,0,1
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,19,1,0,0,2,2,0,0,0,0,0,1,0,0,0,1,4,2,0,0,8,27,4,0,1,6,1,13,2,0,4,22,3,0,11,24,64,1,1,1,1,1,0,1,0,0,0,1
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,2,1
