Meta -1,-3,-3,-3,-3,-2,-2,-2,-2,-1,-1,-1,-1,-1,0,0,0,0,0,0,1,1,1,2,2,2,2,2,3,3,3,3,3,4,4
Meta -2,-3,-2,-1,0,-3,-2,-1,0,-3,-2,-1,0,2,-3,-2,-1,0,1,2,0,1,2,-1,0,1,2,3,0,1,2,3,4,0,4
Meta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-3,5,2,1,1,0,1,4,0,0,1,1,1,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-2,3,2,1,2,8,62,34,6,0,7,41,12,0,0,0,1,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1,1,0,1,1,0,41,21,3,3,52,521,77,1,1,2,22,89,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0,0,1,0,0,0,6,1,0,0,5,90,25,0,0,5,91,1301,99,8,34,80,5,0,4,1,3,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,81,16,0,53,446,61,1,5,20,50,1,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,18,2,0,11,32,11,0,12,31,130,13,1,2,3,7,1,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,2,2,0,0,0,1,3,0,4,2,1,9,0,0,1
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
