Meta -1,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4
Meta -2,-3,-3,-3,-3,-3,-3,-3,-3,-2,-2,-2,-2,-2,-1,-1,-1,0,0,-3,-3,-3,-3,-3,-3,-3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,-3,-3,-3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,-3,-2,-2,-2,-2,-2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,-1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,0,0,1,1,1,1,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,4,0,4,4,4
Meta -3,-3,-3,-3,-3,-2,-2,-1,0,-2,-1,-1,-1,-1,-2,-1,0,-1,0,-3,-3,-3,-2,-2,-1,0,-3,-3,-3,-3,-3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,-1,-1,-1,-1,-1,-1,-1,0,-2,-2,-2,-2,-2,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,-1,0,0,1,-3,-1,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,-1,-1,-1,-1,-1,-1,0,0,0,-3,-3,-3,-2,-2,-2,-2,-2,-2,-2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,2,-3,-2,-2,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,1,1,-2,-2,-2,-2,-2,-1,-2,-2,-2,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,-2,-2,-2,-2,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2,2,2,0,0,0,0,0,1,1,1,1,1,1,1,2,0,1,2,-1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,-1,0,0,1,1,1,1,1,2,2,2,2,2,2,2,2,2,3,-1,-1,0,0,0,0,1,1,0,0,0,1,1,1,1,1,1,1,2,2,2,2,2,2,2,0,0,0,0,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,0,1,1,2,2,2,3,3,3,4,-1,0,0,0,1,1,1,2,2,0,0,1,1,2,3,3,3,3,3,3,3,3,4,0,0,4,4
Meta -4,-3,-2,-1,0,-1,-1,-2,-1,-2,-1,-1,0,0,0,-1,0,-1,0,-3,-3,-3,-2,-1,0,0,-3,-2,-2,-1,0,-3,-3,-3,-3,-2,-2,-2,-2,-1,-1,-1,0,-2,-2,-2,-1,-1,-1,0,0,0,-2,-2,-1,-1,0,-2,-2,-1,-1,-1,-1,0,2,-1,-1,0,-1,0,0,1,-3,-1,0,-3,-3,-2,-2,-2,-2,-1,-1,-1,0,-2,-2,-1,-1,-1,-1,0,-1,0,1,-3,-1,0,-2,-2,-2,-1,-1,-1,0,-3,-3,-3,-2,-2,-1,-1,-1,-1,0,0,0,0,0,-3,-2,-1,-1,-1,0,0,0,0,1,1,-2,-2,-2,-2,-1,-1,-1,0,-1,0,0,0,0,1,1,2,0,1,-1,-2,-2,-1,0,-1,-2,-2,-1,-2,-2,-1,-1,-1,-1,0,0,-2,-1,-1,0,0,0,-2,-2,-2,-1,-2,-1,-1,-1,0,0,0,-2,-2,-1,-1,-1,0,0,0,0,0,1,1,1,2,2,2,0,0,0,1,1,1,2,0,1,2,-1,0,0,1,1,0,0,1,1,1,2,2,2,0,0,2,-1,-1,0,0,0,1,1,1,0,0,1,2,0,0,1,1,1,0,0,1,1,1,2,2,2,2,0,0,1,1,1,2,2,2,3,-1,0,1,0,1,1,2,2,0,1,1,2,2,2,2,3,3,4,-1,-2,0,0,0,1,1,2,-1,0,0,0,0,1,1,1,2,2,-1,0,1,1,2,2,2,-1,0,0,1,0,0,1,1,1,2,2,2,0,0,0,1,1,1,2,2,2,2,3,3,3,3,0,1,1,2,2,3,3,3,0,0,1,1,2,2,0,1,3,4,-1,0,0,0,0,1,2,1,2,-1,0,0,1,2,0,0,1,2,3,3,3,3,4,0,0,0,4
Meta -5,-2,-1,-2,-1,-1,0,0,-1,-1,-2,-1,-1,0,0,-1,0,-1,0,-3,-2,-1,-2,-1,0,0,-3,-2,-1,0,0,-3,-2,-1,0,-3,-2,-1,0,-2,-1,0,0,-2,-1,0,-2,-1,0,-1,0,0,-2,0,-1,0,1,-2,0,-3,-2,-1,0,0,1,-1,0,0,-1,-1,0,1,0,-1,0,-3,0,-3,-2,-1,0,-2,-1,0,0,-2,-1,-2,-1,0,2,0,-1,0,1,-3,-1,0,-3,-2,-1,-2,-1,0,-1,-3,-1,0,-2,-1,-3,-2,-1,0,-3,-2,-1,0,1,-2,-2,-2,-1,0,-1,0,1,2,0,1,-1,-2,-1,-1,-2,-1,0,0,-1,-2,-1,0,1,0,1,0,0,1,0,-2,-1,0,0,-1,-2,-1,-1,-2,-1,-3,-2,-1,0,-1,0,-2,-1,0,-1,0,1,-2,-1,0,-1,-2,-2,-1,0,-2,-1,0,-2,-1,-2,-1,0,-2,-1,0,1,2,0,1,2,0,1,2,-1,0,1,0,1,2,2,0,0,2,-1,0,1,0,1,0,1,0,1,2,1,2,2,0,0,2,-1,-1,-1,0,1,0,1,2,0,1,1,2,0,1,0,1,2,0,1,0,1,2,0,1,2,3,0,1,0,1,2,1,2,3,4,-1,0,2,0,0,1,1,2,0,0,1,0,1,2,3,1,3,4,-1,-1,-1,0,1,1,1,2,-1,0,1,0,1,0,1,2,0,1,-1,0,1,2,0,2,3,-2,0,1,1,-1,0,0,1,2,0,1,2,-1,0,1,0,1,2,0,1,2,3,0,1,2,3,0,0,1,1,2,0,1,3,0,0,1,2,1,2,0,1,3,4,-1,0,-1,0,0,1,-1,1,0,-1,0,0,0,2,-1,0,0,2,0,1,2,3,4,0,0,0,0
Meta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-3,0,1,0,0,1,1,1,1,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-2,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,2,1,1,1,1,1,1,2,1,1,1,1,1,0,1,1,1,2,4,7,1,3,8,3,3,1,1,1,3,7,2,1,3,4,0,1,1,1,1,3,1,1,3,9,2,3,0,1,0,7,0,3,3,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,3,0,0,1,0,0,1,0,0,0,1,3,1,0,0,0,1,1,0,0,1,2,0,2,16,4,0,0,1,2,0,0,0,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,1,1,0,1,3,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2,0,0,0,1,1,1,0,0,1,8,7,2,0,2,1,1,0,1,0,1,8,1,0,2,1,1,0,2,0,0,1,0,0,0,11,1,2,1,0,0,2,1,0,1,1,1,1,1,2,1,2,16,3,1,1,9,1,0,1,2,1,7,2,1,1,1,0,0,1,1,1,2,18,10,3,11,0,0,0,1,0,26,10,1,32,264,33,1,1,8,35,0,1,1,1,10,4,3,39,1,1,1,0,1,0,1,1,1,9,1,4,3,0,9,43,1,0,1,1,1,1,1,0,1,1,0,0,0,0,1,1,0,0,1,10,1,0,2,0,0,0,1,5,0,0,0,0,0,0,0,4,0,0,0,0,0,1,2,9,1,0,4,62,1,0,0,2,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,3,2,0,2,48,8,0,0,6,7,1,0,0,0,1,0,0,9,0,0,0,0,0,1,0,0,0,3,0,1,1,0,0,18,0,1,0,0,0,0,0,2,0,1,1,1,1,2,0,0,1,0,4,44,12,1,7,1,3,1,0,13,1,2,1,1,1,3,1,55,8,1,4,14,4,0,1,52,16,4,65,829,60,7,21,49,2,3,1,3,1,19,2,6,45,8,2,3,1,3,1,20,3,1,1,7,1,7,39,8,1,7,3,4,1,3,1,0,1,23,1,0,3,1,1,0,3,0,7,0,0,1,0,5,2,10,34,4,0,3,6,0,0,0,0,1,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
