Meta -1,-3,-3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3
Meta -2,-1,-1,-3,-2,-2,-2,-2,-1,-1,-1,0,0,-2,-2,-2,-2,-1,-1,-1,0,0,0,1,-2,-2,-1,-1,-1,-1,0,0,0,0,0,1,1,1,2,-1,0,0,0,0,1,1,1,2,2,2,2,0,0,0,1,1,1,1,2,2,2,2,3,3,-1,1,2,3,3,3
Meta -3,-1,0,-1,-3,-2,-1,0,-2,-1,0,-1,0,-3,-2,-1,0,-2,-1,0,-1,0,1,1,-2,-1,-2,-1,0,1,-2,-1,0,1,2,0,1,2,2,-1,-1,0,1,2,0,1,2,0,1,2,3,-1,0,1,-1,0,1,2,0,1,2,3,2,3,0,1,2,-1,1,3
Meta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-2,2,1,2,1,54,26,4,3,11,13,1,4,0,4,0,1,0,20,4,2,15,0,0,0,0,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1,0,0,1,1,30,1,1,2,12,3,0,1,0,21,13,0,27,275,64,20,57,2,0,0,0,2,18,8,1,0,12,88,2,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,1,0,0,0,1,1,0,0,1,8,4,0,7,69,10,7,28,0,1,1,2,10,66,26,0,3,87,1040,120,3,30,95,11,3,0,1,26,7,0,23,91,4,1,5,7,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,3,107,12,0,4,18,2,1,0,1,85,15,0,72,401,59,2,28,35,2,1,2,0,1,6,26,4,4,6,36,1,0,2,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,13,2,0,0,3,0,0,1,0,11,2,1,5,38,4,0,4,5,0,0,13,3,0,8,21,5,11,27,68,2,2,1,0,0,2,1,0,2
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,2,0,0,2,0
