Meta -1,-3,-3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3
Meta -2,-1,-1,-3,-3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,-1,-1,-1,-1,-1,0,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,1,-2,-2,-2,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,2,2,-1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,3,3,3,-1,1,1,2,2,3,3,3
Meta -3,-1,0,-1,-1,-3,-2,-2,-2,-2,-1,-1,-1,0,0,-2,-2,-1,-1,0,0,-1,0,-3,-2,-2,-2,-2,-1,-1,-1,0,-2,-2,-1,-1,-1,0,0,0,-1,-1,-1,-1,0,0,0,1,1,-2,-1,-1,-2,-2,-2,-1,-1,-1,0,0,1,-2,-2,-1,-1,-1,0,0,0,0,0,1,1,1,2,0,0,0,1,1,1,2,2,2,2,2,-1,-1,-1,0,0,0,1,1,1,2,0,0,0,1,1,1,2,2,2,2,0,0,1,1,1,1,2,2,2,2,3,-1,0,0,1,-1,0,0,0,1,1,1,2,2,0,0,1,1,1,2,2,2,2,3,3,2,3,3,0,1,1,2,2,-1,1,3
Meta -4,-1,0,-1,0,-1,-3,-2,-1,0,-2,-1,0,-1,0,-2,0,-1,0,-1,0,-1,0,-1,-3,-2,-1,0,-2,-1,0,0,-2,-1,-2,-1,0,-1,0,1,-2,-1,0,1,-1,0,1,1,1,-2,-1,0,-3,-2,-1,-2,-1,0,-1,0,1,-2,-1,-2,-1,0,-2,-1,0,1,2,0,1,2,2,-1,0,1,0,1,2,0,1,2,1,2,0,-2,0,-1,0,1,0,1,2,2,-1,0,1,0,1,2,0,1,2,3,-1,0,-1,0,1,2,0,1,2,3,3,-1,0,1,1,-1,0,1,2,0,1,2,1,2,0,1,0,1,2,0,1,2,3,2,3,2,-1,3,0,0,1,0,2,0,1,1
Meta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-2,2,1,1,1,1,1,29,22,2,2,11,13,1,3,2,1,8,3,2,11,1,4,0,0,4,0,0,0,0,0,1,0,0,1,17,2,2,2,0,0,0,2,0,2,13,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1,0,0,1,0,1,0,24,4,2,1,0,0,0,1,2,0,11,1,0,3,0,1,0,1,19,1,0,1,11,1,0,17,10,23,202,50,16,47,1,1,15,4,0,9,46,2,2,0,0,0,0,0,2,0,1,14,3,3,5,1,0,0,1,7,4,0,11,70,7,0,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,7,0,1,1,1,2,0,4,3,3,55,11,2,7,1,1,3,2,1,1,27,0,0,1,1,1,1,1,5,4,6,53,7,4,22,0,1,2,9,56,22,2,74,862,98,3,27,82,11,3,1,23,6,18,74,3,0,5,6,1,2,0,1,0,0,24,2,1,5,1,0,0,21,2,13,72,6,0,3,1,0,1,0,0,1,4,0,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,3,0,1,2,92,12,0,2,10,0,0,0,3,1,5,12,1,1,0,1,0,1,0,0,1,3,74,8,3,11,1,0,0,59,13,54,296,51,2,24,31,2,0,2,1,4,19,4,4,3,27,1,2,1,2,0,0,1,4,1,1,3,20,3,1,3,4,0,1,4,1,4,7,24,1,0,1,0,1,1,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,10,3,0,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,9,2,0,2,0,1,0,5,0,4,32,2,0,1,3,0,0,0,0,1,3,0,0,1,4,0,0,0,11,2,3,0,7,1,0,2,18,1,3,2,9,2,6,17,4,6,19,42,1,2,0,2,0,1,0,0,0,1,1,1,0,2
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,2,0
