Meta -1,-3,-3,-3,-3,-3,-3,-3,-3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3
Meta -2,-3,-3,-3,-2,-1,-1,0,1,-3,-3,-3,-3,-3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,-2,-2,-2,-2,-2,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,2,2,2,2,-1,-1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,3,0,0,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,3,3,3,3,1,2,2,2,2,3,3,3,3,3
Meta -3,-3,-3,-1,-1,-1,-1,0,1,-3,-2,-1,0,1,-3,-3,-2,-2,-2,-2,-1,-1,-1,0,-2,-2,-2,-1,-1,0,0,0,-2,0,0,-3,-3,-3,-2,-2,-2,-1,-1,-1,0,0,-2,-2,-2,-2,-1,-1,-1,0,0,0,0,-2,-2,-1,-1,0,0,0,1,1,-2,-2,-1,-1,0,-2,-2,-2,-1,-1,-1,0,0,-2,-2,-1,-1,-1,0,0,0,0,0,1,1,1,2,2,2,0,0,0,1,1,1,2,2,2,2,0,1,1,2,-1,-1,-1,-1,0,0,0,0,1,1,1,2,-1,0,0,0,0,1,1,1,1,1,2,2,2,2,3,0,0,1,1,1,2,2,2,3,3,3,0,1,-1,0,0,1,1,1,2,2,2,0,1,1,1,2,2,2,2,3,3,2,2,2,3,0,0,1,1,2,1,2,2,3,3
Meta -4,-3,-1,-1,-1,-1,0,0,1,-3,-1,-1,0,1,-1,0,-3,-2,-1,0,-2,-1,0,0,-2,-1,0,-1,0,-2,-1,0,-2,-1,0,-3,-2,1,-2,-1,0,-2,-1,0,-2,0,-3,-2,-1,0,-2,-1,0,-2,-1,0,1,-2,-1,-1,0,-1,0,1,0,1,-2,-1,-1,0,0,-3,-2,-1,-2,-1,0,-1,0,-1,0,-2,-1,0,-2,-1,0,1,2,0,1,2,0,1,2,-1,0,1,0,1,2,0,1,2,3,0,1,2,1,-1,0,-1,0,-1,0,1,2,0,1,2,1,-1,-1,0,1,2,-1,0,1,2,3,0,1,2,3,3,0,1,0,1,2,0,1,2,2,3,3,0,1,-1,-1,0,0,1,2,0,1,2,0,0,1,2,0,1,2,3,2,3,0,1,2,3,0,0,-1,1,2,0,0,1,1,2
Meta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-3,3,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-2,1,0,0,1,1,1,1,1,0,0,2,1,0,2,1,2,17,10,2,4,7,2,3,2,3,1,11,3,0,0,3,0,1,3,0,0,0,2,1,0,0,3,0,0,2,0,0,0,0,1,20,6,0,0,6,0,0,1,1,0,0,7,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,14,3,0,2,6,1,1,1,0,1,13,2,0,1,4,1,0,6,1,0,1,15,6,1,2,8,3,1,4,2,14,11,4,28,271,58,1,20,51,3,1,0,15,6,2,68,0,2,2,0,1,1,0,0,0,0,0,2,12,4,1,7,0,0,0,3,2,2,7,89,0,0,0,1,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,1,1,0,1,0,1,0,0,1,0,1,2,0,0,4,2,0,0,0,8,2,1,2,63,11,0,1,11,1,0,0,2,2,3,23,0,0,0,0,0,2,2,1,1,3,6,9,61,9,3,18,4,1,10,74,18,3,92,921,93,2,32,61,10,0,2,1,1,25,9,7,58,7,4,4,3,0,1,1,1,1,0,0,1,0,1,24,5,0,2,6,1,0,0,0,6,2,0,0,8,64,6,0,0,5,2,0,0,3,1,1,2,2,0,0,4,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,1,0,0,2,81,9,1,3,10,1,1,0,0,0,3,0,1,17,0,0,1,1,1,0,1,0,0,0,1,1,1,0,50,9,1,1,12,2,1,1,2,47,13,1,1,46,267,36,1,2,14,24,3,1,2,0,7,10,3,1,6,20,2,1,1,6,1,0,1,7,1,12,0,1,0,4,1,1,5,1,1,7,19,1,0,0,0,2,0,2,0,0,0,0,0,0,0,0,1,0
