Meta -1,-3,-3,-3,-3,-3,-3,-3,-3,-3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3
Meta -2,-3,-3,-3,-3,-2,-1,-1,0,1,-3,-3,-3,-3,-3,-3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,-2,-2,-2,-2,-2,-2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,1,2,2,2,2,2,3,3,3,3,3,3
Meta -3,-3,-3,-3,-1,-1,-1,-1,0,1,-3,-2,-1,-1,0,1,-3,-3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,-1,-1,-1,-1,-1,0,0,-2,-2,-2,-2,-1,-1,-1,-1,0,0,0,0,-2,0,0,0,0,-3,-3,-3,-2,-2,-2,-2,-2,-2,-2,-1,-1,-1,-1,-1,-1,0,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,-2,-2,-1,-1,-1,-1,-1,0,0,0,0,0,0,1,1,-2,-2,-1,-1,-1,-1,0,-2,-2,-2,-2,-2,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,-2,-2,-2,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,2,2,2,2,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2,2,2,2,2,2,2,0,1,1,1,2,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,-1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,3,0,0,1,1,1,1,1,1,2,2,2,2,2,2,2,2,3,3,3,0,1,-1,0,0,1,1,1,1,1,1,2,2,2,2,0,1,1,1,1,1,2,2,2,2,2,2,2,2,2,3,3,3,2,2,2,3,3,0,0,1,1,2,2,1,2,2,3,3,3
Meta -4,-3,-3,-1,-1,-1,-1,0,0,1,-3,-1,-1,-1,0,1,-1,0,-3,-3,-2,-2,-2,-2,-1,-1,-1,0,-2,-2,-2,-1,-1,0,0,0,-2,-2,-1,0,-1,-1,-1,0,-2,-1,0,0,-2,-1,-1,0,0,-3,-2,1,-2,-2,-2,-1,-1,-1,0,-2,-2,-1,-1,0,0,-2,0,-3,-3,-2,-2,-2,-1,-1,-1,0,0,-2,-2,-2,-2,-1,-1,-1,0,0,0,0,-2,-1,-1,0,0,1,1,-2,-1,-1,-1,-1,0,0,-1,-1,0,0,0,1,0,1,-2,-1,-1,-1,0,0,0,-3,-2,-2,-1,-1,-2,-2,-2,-1,-1,-1,0,0,0,-1,-1,0,0,-1,-1,0,-2,-2,-2,-1,-1,-1,0,0,-2,-2,-1,-1,-1,0,0,0,0,0,1,1,1,2,2,0,0,0,1,1,1,2,2,2,0,1,1,2,-1,0,0,0,1,1,1,0,0,1,1,1,2,2,0,0,1,1,1,2,3,0,1,1,2,1,-1,0,-1,0,-1,0,0,0,0,1,1,1,2,0,1,1,2,2,2,1,-1,-1,-1,0,0,0,1,1,1,2,-1,0,0,0,0,1,1,1,1,1,2,2,2,2,3,0,1,1,1,2,2,2,3,3,3,0,1,0,0,1,1,2,2,0,1,1,1,2,2,2,2,2,3,3,0,1,-1,-1,0,0,1,1,1,2,2,0,1,2,2,0,0,1,1,1,2,0,1,1,2,2,2,2,3,3,2,2,3,0,1,2,3,3,0,0,-1,1,2,2,0,0,1,1,2,2
Meta -5,-3,-1,-1,-1,-1,-1,0,0,1,-3,-1,-1,0,0,1,-1,0,-1,0,-3,-2,-1,0,-2,-1,0,0,-2,-1,0,-1,0,0,-1,0,-2,-1,-1,0,-2,-1,0,0,-1,-1,0,1,-2,-1,0,-1,0,-3,-1,1,-3,-2,-1,-2,-1,0,0,-2,0,-1,0,-1,0,-2,0,-3,1,-2,-1,0,-2,-1,0,-2,0,-3,-2,-1,0,-2,-1,0,-2,-1,0,1,-2,-1,0,-1,0,0,1,-1,-1,-2,-1,0,-1,0,-1,0,-2,-1,0,1,0,1,0,-1,-1,0,-2,0,-1,-2,-2,-1,-1,0,-2,-1,0,-2,-1,0,-1,0,1,-1,0,-1,0,-1,0,0,-3,-2,-1,-2,-1,0,-1,0,-1,0,-2,-1,0,-2,-1,0,1,2,0,1,2,1,2,-1,0,1,0,1,2,0,1,2,0,1,2,1,-1,-1,0,1,0,1,2,0,1,0,1,2,1,2,0,1,0,1,2,2,3,0,0,1,1,0,-1,0,-1,0,-1,-1,0,1,2,0,1,2,0,0,0,1,1,2,3,1,0,-1,0,0,1,2,0,1,2,1,-1,-1,0,1,2,-1,0,1,2,3,0,1,2,3,3,0,0,1,2,0,1,2,2,3,3,0,1,-1,0,0,1,0,2,0,0,1,2,0,1,2,3,1,3,1,0,1,-1,-1,0,0,0,1,2,1,2,0,1,1,2,0,0,0,1,2,2,0,0,1,0,1,2,3,2,3,0,2,3,0,1,2,1,2,0,0,-1,1,1,2,0,0,-1,0,0,1
Meta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-3,2,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-2,1,0,0,0,1,1,1,1,1,0,0,1,1,1,0,2,1,2,0,1,7,7,2,2,6,2,2,1,3,0,5,2,2,1,2,1,1,3,1,0,8,3,3,0,0,3,0,0,1,0,0,3,0,0,0,1,1,0,0,1,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,13,7,0,0,6,0,0,0,0,0,6,0,0,0,1,0,1,0,0,0,0,0,0,1,6,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1,10,3,0,2,1,0,0,1,0,1,5,1,1,0,1,1,0,0,1,1,10,2,2,0,1,4,0,1,0,0,1,5,1,0,1,0,12,3,1,4,1,1,1,1,6,2,0,3,1,4,1,1,9,5,0,2,6,3,1,3,2,12,10,4,24,209,38,0,17,38,3,1,14,6,2,49,2,1,1,0,2,9,4,0,6,1,1,1,5,62,0,2,2,0,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,10,2,1,3,0,1,0,1,6,0,0,0,0,0,0,0,2,1,0,2,2,0,0,5,2,1,5,82,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,1,0,0,0,0,4,0,1,1,0,0,0,0,6,1,1,0,2,0,0,1,0,2,0,0,4,47,12,1,3,7,0,0,1,0,0,11,0,1,0,0,0,2,0,1,1,2,1,1,1,21,0,0,0,0,0,1,1,1,1,1,1,1,2,4,2,6,2,1,2,50,9,0,8,1,1,2,2,16,2,2,1,1,3,6,9,57,8,3,15,2,1,10,66,16,2,84,752,80,2,30,53,10,2,0,1,23,8,6,48,7,4,3,3,0,1,1,1,1,0,20,5,2,6,1,5,2,6,46,6,5,2,3,1,1,2,1,3,0,1,0,1,1,1,0,0,1,0,1,2,18,3,1,0,5,0,0,2,1,5,0,1,0,0,0,0,0,6,0,0,0,2,0,0,0,1,7,0,0,1,9,49,5,0,0,2,4,0,0,0,1,4,0,0,1,1,0,0,0,3,1,1,0,0,2,0,2,0,0,0,0,0,0,4,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
